paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumDDT_ngg,4.56,Unknown,,high,table_p3_ri5_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumDDT_ngg,0.305,Unknown,,high,table_p3_ri5_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumDDT_ngg,21.3,Unknown,,high,table_p3_ri6_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumDDT_ngg,6.65,Unknown,,high,table_p3_ri6_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumDDT_ngg,41.6,Unknown,,high,table_p3_ri7_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumDDT_ngg,1.36,Unknown,,high,table_p3_ri7_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Soil,Soil,SumHCH_ngg,0.0019,Unknown,,high,table_p3_ri8_ci1,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumHCH_ngg,0.265,Unknown,,high,table_p3_ri8_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumHCH_ngg,0.0353,Unknown,,high,table_p3_ri8_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumHCH_ngg,7.76,Unknown,,high,table_p3_ri9_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumHCH_ngg,0.295,Unknown,,high,table_p3_ri9_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumHCH_ngg,0.153,Unknown,,high,table_p3_ri10_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumHCH_ngg,0.0203,Unknown,,high,table_p3_ri10_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumHCH_ngg,0.189,Unknown,,high,table_p3_ri11_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumHCH_ngg,0.0186,Unknown,,high,table_p3_ri11_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,Highland barley,SumHCH_ngg,8.36,Unknown,,high,table_p3_ri12_ci2,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,Rape,SumHCH_ngg,0.349,Unknown,,high,table_p3_ri12_ci3,"The descriptive statistical data (minimum, maximum, mean and standard deviation) of OCP concentrations (ng/g dw) in agricultural soil and crops of the TP."
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Tibetan_rape,Tibetan rape,SumDDT_ngg,2.2575000000000003,Unknown,range_mean,high,table_p3_ri2_ci1,Comparison between the present study and others studies on the surface soil of the Tibetan Plateau and farmland in the other regions (ng/g dw).
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Tibetan_rape,Tibetan rape,SumHCH_ngg,0.025249999999999998,Unknown,range_mean,high,table_p3_ri2_ci2,Comparison between the present study and others studies on the surface soil of the Tibetan Plateau and farmland in the other regions (ng/g dw).
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Tibetan_highland_barley,Tibetan highland barley,SumDDT_ngg,3.88855,Unknown,range_mean,high,table_p3_ri3_ci1,Comparison between the present study and others studies on the surface soil of the Tibetan Plateau and farmland in the other regions (ng/g dw).
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Soil_Tibetan_remote_soil,Soil Tibetan remote soil,SumHCH_ngg,0.375,Unknown,range_mean,high,table_p3_ri4_ci2,Comparison between the present study and others studies on the surface soil of the Tibetan Plateau and farmland in the other regions (ng/g dw).
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Antarctica_soil,Antarctica soil,SumDDT_ngg,3.1599999999999997,Unknown,range_mean,high,table_p3_ri5_ci1,Comparison between the present study and others studies on the surface soil of the Tibetan Plateau and farmland in the other regions (ng/g dw).
