paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Aromatic ring,Nap_ngg,2.0,Unknown,,high,table_p3_ri1_ci1,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Max  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,Nap_ngg,285.0,Unknown,,high,table_p3_ri1_ci3,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Mean  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,Nap_ngg,27.0,Unknown,,high,table_p3_ri1_ci4,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Median__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Median  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,Nap_ngg,19.0,Unknown,,high,table_p3_ri1_ci5,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),DRª (percent),Nap_ngg,86.0,Unknown,,high,table_p3_ri1_ci6,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Aromatic ring,Acy_ngg,3.0,Unknown,,high,table_p3_ri2_ci1,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Max  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,Acy_ngg,303.0,Unknown,,high,table_p3_ri2_ci3,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Mean  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,Acy_ngg,43.0,Unknown,,high,table_p3_ri2_ci4,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Median__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Median  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,Acy_ngg,31.0,Unknown,,high,table_p3_ri2_ci5,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),DRª (percent),Acy_ngg,92.0,Unknown,,high,table_p3_ri2_ci6,"Information on sixteen PAHs in agricultural soils from Xinzhou, China $( n { = } 2 4 7 , \mathrm { d w } )$"
