paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Nap_ngg,2.6,Unknown,,high,table_p3_ri2_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Acy_ngg,2.1,Unknown,,high,table_p3_ri3_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Ace_ngg,3.3,Unknown,,high,table_p3_ri4_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Flu_ngg,2.0,Unknown,,high,table_p3_ri5_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Phe_ngg,2.9,Unknown,,high,table_p3_ri6_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Ant_ngg,2.8,Unknown,,high,table_p3_ri7_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Flu_ngg,2.9,Unknown,,high,table_p3_ri8_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Flt_ngg,2.9,Unknown,,high,table_p3_ri8_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Pyr_ngg,3.0,Unknown,,high,table_p3_ri9_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Ant_ngg,3.1,Unknown,,high,table_p3_ri11_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,BaA_ngg,3.1,Unknown,,high,table_p3_ri11_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Chr_ngg,3.3,Unknown,,high,table_p3_ri12_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Flt_ngg,2.6,Unknown,,high,table_p3_ri13_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,BbF_ngg,2.6,Unknown,,high,table_p3_ri13_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Flt_ngg,3.2,Unknown,,high,table_p3_ri14_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,BkF_ngg,3.2,Unknown,,high,table_p3_ri14_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Pyr_ngg,2.1,Unknown,,high,table_p3_ri15_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,BaP_ngg,2.1,Unknown,,high,table_p3_ri15_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Pyr_ngg,3.2,Unknown,,high,table_p3_ri16_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Cd_mgkg,3.2,Unknown,,high,table_p3_ri16_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Ant_ngg,3.0,Unknown,,high,table_p3_ri17_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Sum_PAH_ngg,2.6,Unknown,,high,table_p3_ri20_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
j.ecolind.2021.107513,j.ecolind.2021.107513_Rural_area,Rural area,Sum_PAH_ngg,2.7,Unknown,,high,table_p3_ri21_ci2,"Composition distribution characteristics of soil PAHs surrounding soil PAHs in industrial and rural areas in Zhejiang Province, southeastern China $( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g "
