paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Water,Nap_ngg,0.46,Unknown,,high,table_p6_ri1_ci2,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Soil,Nap_ngg,1.17,Unknown,,high,table_p6_ri1_ci3,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Sediment,Nap_ngg,0.99,Unknown,,high,table_p6_ri1_ci4,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Water,Flu_ngg,0.48,Unknown,,high,table_p6_ri4_ci2,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Soil,Flu_ngg,0.87,Unknown,,high,table_p6_ri4_ci3,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Sediment,Flu_ngg,0.9,Unknown,,high,table_p6_ri4_ci4,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Water,Phe_ngg,1.14,Unknown,,high,table_p6_ri5_ci2,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Soil,Phe_ngg,0.98,Unknown,,high,table_p6_ri5_ci3,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Sediment,Phe_ngg,1.21,Unknown,,high,table_p6_ri5_ci4,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Water,Ant_ngg,0.43,Unknown,,high,table_p6_ri6_ci2,IALREs of IDMF modeled PAH concentrations in the multimedia environments (Unit: dimensionless).
