paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Distance from roadbed to farmland,Nap_ngg,-0.166,Unknown,,high,table_p3_ri2_ci4,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Traffic volume,Acy_ngg,0.197,Unknown,,high,table_p3_ri3_ci1,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Average vehicle speed,Acy_ngg,0.188,Unknown,,high,table_p3_ri3_ci2,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Operation time,Acy_ngg,0.147,Unknown,,high,table_p3_ri3_ci3,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Distance from roadbed to farmland,Acy_ngg,0.131,Unknown,,high,table_p3_ri3_ci4,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Traffic volume,Ace_ngg,0.289,Unknown,,high,table_p3_ri4_ci1,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Average vehicle speed,Ace_ngg,0.228,Unknown,,high,table_p3_ri4_ci2,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Operation time,Ace_ngg,0.219,Unknown,,high,table_p3_ri4_ci3,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Distance from roadbed to farmland,Ace_ngg,0.156,Unknown,,high,table_p3_ri4_ci4,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Traffic volume,Phe_ngg,0.147,Unknown,,high,table_p3_ri6_ci1,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Average vehicle speed,Phe_ngg,0.124,Unknown,,high,table_p3_ri6_ci2,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Operation time,Phe_ngg,0.084,Unknown,,high,table_p3_ri6_ci3,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Distance from roadbed to farmland,Phe_ngg,0.089,Unknown,,high,table_p3_ri6_ci4,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Traffic volume,Ant_ngg,0.215,Unknown,,high,table_p3_ri7_ci1,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Average vehicle speed,Ant_ngg,0.192,Unknown,,high,table_p3_ri7_ci2,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Operation time,Ant_ngg,0.141,Unknown,,high,table_p3_ri7_ci3,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Distance from roadbed to farmland,Ant_ngg,0.144,Unknown,,high,table_p3_ri7_ci4,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Traffic volume,Flu_ngg,0.226,Unknown,,high,table_p3_ri8_ci1,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Average vehicle speed,Flu_ngg,0.237,Unknown,,high,table_p3_ri8_ci2,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Operation time,Flu_ngg,0.195,Unknown,,high,table_p3_ri8_ci3,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Distance from roadbed to farmland,Flu_ngg,0.15,Unknown,,high,table_p3_ri8_ci4,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Traffic volume,Pyr_ngg,0.225,Unknown,,high,table_p3_ri9_ci1,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Average vehicle speed,Pyr_ngg,0.241,Unknown,,high,table_p3_ri9_ci2,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Operation time,Pyr_ngg,0.193,Unknown,,high,table_p3_ri9_ci3,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Distance from roadbed to farmland,Pyr_ngg,0.156,Unknown,,high,table_p3_ri9_ci4,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Traffic volume,BaA_ngg,0.265,Unknown,,high,table_p3_ri10_ci1,Correlation analysis between traffic parameters and PAH concentrations in Shanghai roadside agricultural soils $( \mathtt { n } = 4 1 ) .$
