paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Samples_of_well_soil_in_Zhongyuan_Oilfield_area_have_been_used_for_more_than,Samples of well soil in Zhongyuan Oilfield area have been used for more than,TotalPHC_mgkg,327.805,Unknown,,high,table_p5_ri1_ci3,Table 2 Comparison of petroleum pollution level in soil of other oilfields.,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_three_years_Soil_surrounding_Changqing_Oilfield,three years Soil surrounding Changqing Oilfield,TotalPHC_mgkg,1025.795,Unknown,range_mean,high,table_p5_ri2_ci3,Table 2 Comparison of petroleum pollution level in soil of other oilfields.,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Contaminated_soil_around_Yanchang,Contaminated soil around Yanchang,TotalPHC_mgkg,2196.045,Unknown,range_mean,high,table_p5_ri3_ci3,Table 2 Comparison of petroleum pollution level in soil of other oilfields.,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Oilfield_Oil-contaminated_soil_within_50_m-200_m_range_of_oil_well_of_Daqing_No._3_Oil,Oilfield Oil-contaminated soil within 50 m-200 m range of oil well of Daqing No. 3 Oil,TotalPHC_mgkg,91600.0,Unknown,,high,table_p5_ri4_ci3,Table 2 Comparison of petroleum pollution level in soil of other oilfields.,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Production_Plant_Oil_-_polluted_soil_in_Dingbian_County_of_northern_Shaanxi_Oil_field,Production Plant Oil - polluted soil in Dingbian County of northern Shaanxi Oil field,TotalPHC_mgkg,146500.0,Unknown,,high,table_p5_ri5_ci3,Table 2 Comparison of petroleum pollution level in soil of other oilfields.,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_rings,rings,Nap_ngg,2.0,Unknown,,high,table_p9_ri1_ci1,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Minimum,Minimum,Nap_ngg,5.8,Unknown,,high,table_p9_ri1_ci2,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Maximum,Maximum,Nap_ngg,323.54,Unknown,,high,table_p9_ri1_ci3,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Standard_deviation,Standard deviation,Nap_ngg,10.84,Unknown,,high,table_p9_ri1_ci6,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_rings,rings,Acy_ngg,3.0,Unknown,,high,table_p9_ri2_ci1,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Minimum,Minimum,Acy_ngg,6.15,Unknown,,high,table_p9_ri2_ci2,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Maximum,Maximum,Acy_ngg,145.5,Unknown,,high,table_p9_ri2_ci3,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Standard_deviation,Standard deviation,Acy_ngg,11.53,Unknown,,high,table_p9_ri2_ci6,Table 3 Concentration of £16 PAHs in the soil of the study area (μg/kg).,,,,,,phase14
