paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.2.A,T5.2.A,TotalPHC_mgkg,912.0,Unknown,,high,table_p3_ri3_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.2.A,T5.2.A,pH,9.4,Unknown,,high,table_p3_ri3_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.5.A,T5.5.A,TotalPHC_mgkg,6970.0,Unknown,,high,table_p3_ri4_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.5.A,T5.5.A,pH,9.4,Unknown,,high,table_p3_ri4_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.6.A,T5.6.A,TotalPHC_mgkg,1690.0,Unknown,,high,table_p3_ri5_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.6.A,T5.6.A,pH,9.1,Unknown,,high,table_p3_ri5_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T6.2.A,T6.2.A,TotalPHC_mgkg,220.0,Unknown,,high,table_p3_ri6_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T6.2.A,T6.2.A,pH,8.4,Unknown,,high,table_p3_ri6_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T3.2.C,T3.2.C,TotalPHC_mgkg,1240.0,Unknown,,high,table_p3_ri10_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T3.2.C,T3.2.C,pH,8.6,Unknown,,high,table_p3_ri10_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.1.C,T5.1.C,TotalPHC_mgkg,3990.0,Unknown,,high,table_p3_ri11_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.1.C,T5.1.C,pH,9.5,Unknown,,high,table_p3_ri11_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.2.C,T5.2.C,TotalPHC_mgkg,5520.0,Unknown,,high,table_p3_ri12_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.2.C,T5.2.C,pH,9.6,Unknown,,high,table_p3_ri12_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.5.C,T5.5.C,TotalPHC_mgkg,117.0,Unknown,,high,table_p3_ri13_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.5.C,T5.5.C,pH,9.7,Unknown,,high,table_p3_ri13_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.6.C,T5.6.C,TotalPHC_mgkg,206.0,Unknown,,high,table_p3_ri14_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.6.C,T5.6.C,pH,9.5,Unknown,,high,table_p3_ri14_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T6.2.C,T6.2.C,TotalPHC_mgkg,231.0,Unknown,,high,table_p3_ri15_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T6.2.C,T6.2.C,pH,8.5,Unknown,,high,table_p3_ri15_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.,,,,,,phase14
