paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HMFact2,HMFact2,Sum_PAH_ngg,0.072,Unknown,,high,table_p12_ri1_ci2,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HMFact3,HMFact3,Sum_PAH_ngg,0.035,Unknown,,high,table_p12_ri1_ci3,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HM_Fact4,HM Fact4,Sum_PAH_ngg,0.458,Unknown,,high,table_p12_ri1_ci4,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HMFact1,HMFact1,Sum_PAH_ngg,0.02,Unknown,,high,table_p12_ri2_ci1,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HMFact2,HMFact2,Sum_PAH_ngg,0.004,Unknown,,high,table_p12_ri2_ci2,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HMFact3,HMFact3,Sum_PAH_ngg,0.382,Unknown,,high,table_p12_ri2_ci3,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HM_Fact4,HM Fact4,Sum_PAH_ngg,0.053,Unknown,,high,table_p12_ri2_ci4,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HMFact5,HMFact5,Sum_PAH_ngg,0.056,Unknown,,high,table_p12_ri2_ci5,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HMFact1,HMFact1,Sum_PAH_ngg,0.154,Unknown,,high,table_p12_ri4_ci1,,,,,,,phase14
1-s2.0-S0304389424030796,1-s2.0-S0304389424030796_HM_Fact4,HM Fact4,Sum_PAH_ngg,0.116,Unknown,,high,table_p12_ri4_ci4,,,,,,,phase14
