paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
10807039.2015.1104627,10807039.2015.1104627_S102,S102,Nap_ngg,243.1,Unknown,,high,table_p25_ri1_ci1,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S104,S104,Nap_ngg,322.5,Unknown,,high,table_p25_ri1_ci2,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S26,S26,Nap_ngg,609.1,Unknown,,high,table_p25_ri1_ci3,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_s105,s105,Nap_ngg,301.1,Unknown,,high,table_p25_ri1_ci4,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S106,S106,Nap_ngg,673.8,Unknown,,high,table_p25_ri1_ci5,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_G12,G12,Nap_ngg,414.7,Unknown,,high,table_p25_ri1_ci6,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S101,S101,Nap_ngg,579.3,Unknown,,high,table_p25_ri1_ci7,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,c.v $\% ^ { \mathrm { a } }$,Nap_ngg,38.0,Unknown,,high,table_p25_ri1_ci9,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,$\overline { { \mathrm { C G } ^ { \mathrm { b } } } }$,Nap_ngg,97.3,Unknown,,high,table_p25_ri1_ci10,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S102,S102,Ace_ngg,14.1,Unknown,,high,table_p25_ri2_ci1,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S104,S104,Ace_ngg,17.2,Unknown,,high,table_p25_ri2_ci2,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S26,S26,Ace_ngg,35.2,Unknown,,high,table_p25_ri2_ci3,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_s105,s105,Ace_ngg,16.3,Unknown,,high,table_p25_ri2_ci4,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S106,S106,Ace_ngg,38.3,Unknown,,high,table_p25_ri2_ci5,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_G12,G12,Ace_ngg,26.7,Unknown,,high,table_p25_ri2_ci6,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S101,S101,Ace_ngg,28.3,Unknown,,high,table_p25_ri2_ci7,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,c.v $\% ^ { \mathrm { a } }$,Ace_ngg,38.0,Unknown,,high,table_p25_ri2_ci9,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,$\overline { { \mathrm { C G } ^ { \mathrm { b } } } }$,Ace_ngg,6.4,Unknown,,high,table_p25_ri2_ci10,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S102,S102,Acy_ngg,135.7,Unknown,,high,table_p25_ri3_ci1,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S104,S104,Acy_ngg,637.2,Unknown,,high,table_p25_ri3_ci2,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S26,S26,Acy_ngg,367.0,Unknown,,high,table_p25_ri3_ci3,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_s105,s105,Acy_ngg,672.2,Unknown,,high,table_p25_ri3_ci4,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S106,S106,Acy_ngg,337.1,Unknown,,high,table_p25_ri3_ci5,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_G12,G12,Acy_ngg,542.1,Unknown,,high,table_p25_ri3_ci6,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S101,S101,Acy_ngg,563.7,Unknown,,high,table_p25_ri3_ci7,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,c.v $\% ^ { \mathrm { a } }$,Acy_ngg,41.0,Unknown,,high,table_p25_ri3_ci9,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,$\overline { { \mathrm { C G } ^ { \mathrm { b } } } }$,Acy_ngg,108.1,Unknown,,high,table_p25_ri3_ci10,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S102,S102,Phe_ngg,179.6,Unknown,,high,table_p25_ri5_ci1,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S104,S104,Phe_ngg,191.3,Unknown,,high,table_p25_ri5_ci2,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S26,S26,Phe_ngg,203.0,Unknown,,high,table_p25_ri5_ci3,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_s105,s105,Phe_ngg,217.3,Unknown,,high,table_p25_ri5_ci4,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S106,S106,Phe_ngg,239.7,Unknown,,high,table_p25_ri5_ci5,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_G12,G12,Phe_ngg,372.9,Unknown,,high,table_p25_ri5_ci6,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S101,S101,Phe_ngg,338.9,Unknown,,high,table_p25_ri5_ci7,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,c.v $\% ^ { \mathrm { a } }$,Phe_ngg,30.0,Unknown,,high,table_p25_ri5_ci9,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,$\overline { { \mathrm { C G } ^ { \mathrm { b } } } }$,Phe_ngg,33.5,Unknown,,high,table_p25_ri5_ci10,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S102,S102,Ant_ngg,196.7,Unknown,,high,table_p25_ri6_ci1,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S104,S104,Ant_ngg,239.9,Unknown,,high,table_p25_ri6_ci2,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S26,S26,Ant_ngg,508.1,Unknown,,high,table_p25_ri6_ci3,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_s105,s105,Ant_ngg,201.7,Unknown,,high,table_p25_ri6_ci4,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S106,S106,Ant_ngg,588.4,Unknown,,high,table_p25_ri6_ci5,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_G12,G12,Ant_ngg,331.2,Unknown,,high,table_p25_ri6_ci6,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S101,S101,Ant_ngg,471.1,Unknown,,high,table_p25_ri6_ci7,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,c.v $\% ^ { \mathrm { a } }$,Ant_ngg,44.0,Unknown,,high,table_p25_ri6_ci9,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,$\overline { { \mathrm { C G } ^ { \mathrm { b } } } }$,Ant_ngg,66.2,Unknown,,high,table_p25_ri6_ci10,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S102,S102,Pyr_ngg,89.3,Unknown,,high,table_p25_ri8_ci1,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S104,S104,Pyr_ngg,72.1,Unknown,,high,table_p25_ri8_ci2,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S26,S26,Pyr_ngg,407.1,Unknown,,high,table_p25_ri8_ci3,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_s105,s105,Pyr_ngg,101.1,Unknown,,high,table_p25_ri8_ci4,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S106,S106,Pyr_ngg,498.7,Unknown,,high,table_p25_ri8_ci5,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_G12,G12,Pyr_ngg,283.3,Unknown,,high,table_p25_ri8_ci6,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_S101,S101,Pyr_ngg,259.6,Unknown,,high,table_p25_ri8_ci7,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
10807039.2015.1104627,10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,c.v $\% ^ { \mathrm { a } }$,Pyr_ngg,68.0,Unknown,,high,table_p25_ri8_ci9,Table 1 Average PAH concentrations in soils from 7 main roadsides,,,,,,phase14
