paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Nap_ngg,12.3,Unknown,,high,table_p3_ri2_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Ace_ngg,1.6,Unknown,,high,table_p3_ri4_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Phe_ngg,13.9,Unknown,,high,table_p3_ri6_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Ant_ngg,2.7,Unknown,,high,table_p3_ri7_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Flu_ngg,1.7,Unknown,,high,table_p3_ri8_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Pyr_ngg,1.4,Unknown,,high,table_p3_ri9_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Chr_ngg,7.8,Unknown,,high,table_p3_ri10_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,BaA_ngg,9.3,Unknown,,high,table_p3_ri11_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,Ind_ngg,24.6,Unknown,,high,table_p3_ri15_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Maximum acceptable limit for PAH soil concentrations,BghiP_ngg,24.7,Unknown,,high,table_p3_ri17_ci1,"Table 1 Concentration (ug ${ \ k } \mathbf { g } ^ { - 1 }$ dry weight) and frequency of 16 PAHs in vegetable soils from the Beijing-Tianjin city cluster, and comparison with maximum acceptable limit ",,,,,,phase14
