paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Minimum_value,Minimum value,pH,2.5,Unknown,,high,table_p3_ri3_ci1,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Maximum_value,Maximum value,pH,6.98,Unknown,,high,table_p3_ri3_ci2,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Mean_value,Mean value,pH,4.9,Unknown,,high,table_p3_ri3_ci3,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Median_value,Median value,pH,5.07,Unknown,,high,table_p3_ri3_ci4,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Maximum_value,Maximum value,SumPCB_ngg,0.58,Unknown,,high,table_p3_ri5_ci2,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Mean_value,Mean value,SumPCB_ngg,0.29,Unknown,,high,table_p3_ri5_ci3,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Median_value,Median value,SumPCB_ngg,0.25,Unknown,,high,table_p3_ri5_ci4,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Standard_deviation,Standard deviation,SumPCB_ngg,0.1,Unknown,,high,table_p3_ri5_ci5,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Skewness,Skewness,SumPCB_ngg,1.85,Unknown,,high,table_p3_ri5_ci6,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Maximum_value,Maximum value,SumPCB_ngg,0.5,Unknown,,high,table_p3_ri6_ci2,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Mean_value,Mean value,SumPCB_ngg,0.28,Unknown,,high,table_p3_ri6_ci3,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Median_value,Median value,SumPCB_ngg,0.25,Unknown,,high,table_p3_ri6_ci4,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Standard_deviation,Standard deviation,SumPCB_ngg,0.09,Unknown,,high,table_p3_ri6_ci5,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Skewness,Skewness,SumPCB_ngg,1.85,Unknown,,high,table_p3_ri6_ci6,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Maximum_value,Maximum value,SumPCB_ngg,5.02,Unknown,,high,table_p3_ri7_ci2,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Mean_value,Mean value,SumPCB_ngg,0.9,Unknown,,high,table_p3_ri7_ci3,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Median_value,Median value,SumPCB_ngg,0.442,Unknown,,high,table_p3_ri7_ci4,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
72128_j.chemosphere.2007.01.083,72128_j.chemosphere.2007.01.083_Standard_deviation,Standard deviation,SumPCB_ngg,1.34,Unknown,,high,table_p3_ri7_ci5,Descriptive statistics of data on OCCs soil contents $( \mathbf { n g } \mathbf { g } ^ { - 1 } )$ taken from Franzle et al. (1996) study investigated by PCA (number of samples: 16),,,,,,phase14
