paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72148_b805840g,72148_b805840g_$f___{_\mathrm_{_{_S_}_}_}_/_f___{_\mathrm_{_{_A_}_}_}$,$f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }$,Acy_ngg,7.1,Unknown,,high,table_p3_ri9_ci3,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_log__$K___{_\mathrm_{_O_A_}_}$,log  $K _ { \mathrm { O A } }$,Ace_ngg,6.52,Unknown,,high,table_p3_ri10_ci2,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_$f___{_\mathrm_{_{_S_}_}_}_/_f___{_\mathrm_{_{_A_}_}_}$,$f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }$,Ace_ngg,7.31,Unknown,,high,table_p3_ri10_ci3,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_$f___{_\mathrm_{_{_S_}_}_}_/_f___{_\mathrm_{_{_A_}_}_}$,$f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }$,Flu_ngg,7.77,Unknown,,high,table_p3_ri11_ci3,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_log__$K___{_\mathrm_{_O_A_}_}$,log  $K _ { \mathrm { O A } }$,Phe_ngg,7.68,Unknown,,high,table_p3_ri13_ci2,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_$f___{_\mathrm_{_{_S_}_}_}_/_f___{_\mathrm_{_{_A_}_}_}$,$f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }$,Phe_ngg,8.69,Unknown,,high,table_p3_ri13_ci3,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_log__$K___{_\mathrm_{_O_A_}_}$,log  $K _ { \mathrm { O A } }$,Ant_ngg,7.71,Unknown,,high,table_p3_ri14_ci2,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_log__$K___{_\mathrm_{_O_A_}_}$,log  $K _ { \mathrm { O A } }$,Flt_ngg,8.76,Unknown,,high,table_p3_ri15_ci2,"Table 1The method detection limit (MDL),logarithmof octanol-air partition coefficient (log $K _ { \mathrm { O A } } )$ , and fugacity quotients $( f _ { \mathrm { { S } } } / f _ { \mathrm { { A } } }",,,,,,phase14
72148_b805840g,72148_b805840g_Soil_(winter),Soil (winter),Nap_ngg,34.8,Unknown,,high,table_p4_ri4_ci1,ä The 2-6 represents the number of the PAH ring.,,,,,,phase14
72148_b805840g,72148_b805840g_Soil_(summer),Soil (summer),Nap_ngg,2.0,Unknown,,high,table_p4_ri4_ci2,ä The 2-6 represents the number of the PAH ring.,,,,,,phase14
