paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72149_pac200375081123,72149_pac200375081123_%_TDI,% TDI,SumDDT_ngg,1.0,Unknown,,medium,table_p11_ri12_ci1,Table 2 Health-based guideline values derived by WHO for pesticide residues in drinking water [15]. GVs are calculated from 1 % of the tolerable daily intake for those pesticides with a potentially hi,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_GV_ug/1,GV ug/1,SumDDT_ngg,2.0,Unknown,,medium,table_p11_ri12_ci2,Table 2 Health-based guideline values derived by WHO for pesticide residues in drinking water [15]. GVs are calculated from 1 % of the tolerable daily intake for those pesticides with a potentially hi,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_%_TDI,% TDI,SumDDT_ngg,10.0,Unknown,,medium,table_p11_ri12_ci4,Table 2 Health-based guideline values derived by WHO for pesticide residues in drinking water [15]. GVs are calculated from 1 % of the tolerable daily intake for those pesticides with a potentially hi,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_GV_ug/,GV ug/,SumDDT_ngg,10.0,Unknown,,medium,table_p11_ri12_ci5,Table 2 Health-based guideline values derived by WHO for pesticide residues in drinking water [15]. GVs are calculated from 1 % of the tolerable daily intake for those pesticides with a potentially hi,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_GV,GV,SumDDT_ngg,0.06,Unknown,,medium,table_p13_ri28_ci1,Table 3 Drinking-water guidelines for pesticides in Australia [7]. GV is guideline value; HV is health value.,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_HV,HV,SumDDT_ngg,20.0,Unknown,,medium,table_p13_ri28_ci2,Table 3 Drinking-water guidelines for pesticides in Australia [7]. GV is guideline value; HV is health value.,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_GV,GV,SumDDT_ngg,5.0,Unknown,,medium,table_p13_ri28_ci4,Table 3 Drinking-water guidelines for pesticides in Australia [7]. GV is guideline value; HV is health value.,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_HV,HV,SumDDT_ngg,30.0,Unknown,,medium,table_p13_ri28_ci5,Table 3 Drinking-water guidelines for pesticides in Australia [7]. GV is guideline value; HV is health value.,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_GV,GV,SumDDT_ngg,0.5,Unknown,,medium,table_p13_ri28_ci7,Table 3 Drinking-water guidelines for pesticides in Australia [7]. GV is guideline value; HV is health value.,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_HV,HV,SumDDT_ngg,0.5,Unknown,,medium,table_p13_ri28_ci8,Table 3 Drinking-water guidelines for pesticides in Australia [7]. GV is guideline value; HV is health value.,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_Freshwater,Freshwater,SumDDT_ngg,1.1,Unknown,,medium,table_p17_ri6_ci1,Table 5 EPA ambient water-quality criteria for aquatic organisms. Data are summarized from Nowell and Resek [11].,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_Saltwater,Saltwater,SumDDT_ngg,0.001,Unknown,,medium,table_p17_ri6_ci2,Table 5 EPA ambient water-quality criteria for aquatic organisms. Data are summarized from Nowell and Resek [11].,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_col3,col3,SumDDT_ngg,0.13,Unknown,,medium,table_p17_ri6_ci3,Table 5 EPA ambient water-quality criteria for aquatic organisms. Data are summarized from Nowell and Resek [11].,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_col4,col4,SumDDT_ngg,0.001,Unknown,,medium,table_p17_ri6_ci4,Table 5 EPA ambient water-quality criteria for aquatic organisms. Data are summarized from Nowell and Resek [11].,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_ug/l,ug/l,SumDDT_ngg,2.0,Unknown,,medium,table_p18_ri15_ci1,Table 6 Maximum acceptable values (MAVs) for pesticide residues in drinking water in New Zealand [9].,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_ug/l,ug/l,SumDDT_ngg,10.0,Unknown,,medium,table_p18_ri15_ci3,Table 6 Maximum acceptable values (MAVs) for pesticide residues in drinking water in New Zealand [9].,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_WHO_GV,WHO GV,SumDDT_ngg,2.0,Unknown,,high,table_p27_ri19_ci1,Table 12 Comparison of standards and guideline values for pesticide residues in drinking water. Pesticides are listed where there are standards or guidelines from 3 or more authorities (WHO and nation,,,,,,phase14
72149_pac200375081123,"72149_pac200375081123_USA_Health_advisory,","USA Health advisory,",SumDDT_ngg,0.6,Unknown,,high,table_p27_ri20_ci4,Table 12 Comparison of standards and guideline values for pesticide residues in drinking water. Pesticides are listed where there are standards or guidelines from 3 or more authorities (WHO and nation,,,,,,phase14
72149_pac200375081123,72149_pac200375081123_NZ_MAV,NZ MAV,SumDDT_ngg,210.0,Unknown,,high,table_p27_ri20_ci6,Table 12 Comparison of standards and guideline values for pesticide residues in drinking water. Pesticides are listed where there are standards or guidelines from 3 or more authorities (WHO and nation,,,,,,phase14
