paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S3,S3,Sum_PAH_ngg,0.0,Unknown,,high,table_p2_ri3_ci1,Table 1 HPLC working conditions for determination of PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S4,S4,Sum_PAH_ngg,7.4,Unknown,,high,table_p2_ri4_ci1,Table 1 HPLC working conditions for determination of PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S5,S5,Sum_PAH_ngg,10.5,Unknown,,high,table_p2_ri5_ci1,Table 1 HPLC working conditions for determination of PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S6,S6,Sum_PAH_ngg,12.2,Unknown,,high,table_p2_ri6_ci1,Table 1 HPLC working conditions for determination of PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S7,S7,Sum_PAH_ngg,15.0,Unknown,,high,table_p2_ri7_ci1,Table 1 HPLC working conditions for determination of PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S8,S8,Sum_PAH_ngg,17.6,Unknown,,high,table_p2_ri8_ci1,Table 1 HPLC working conditions for determination of PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S9,S9,Sum_PAH_ngg,22.4,Unknown,,high,table_p2_ri9_ci1,Table 1 HPLC working conditions for determination of PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Recovery (%),Nap_ngg,55.5,Unknown,range_mean,high,table_p3_ri1_ci1,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Detection limit (ug/kg),Nap_ngg,2.9,Unknown,,high,table_p3_ri1_ci2,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Recovery (%),Nap_ngg,90.5,Unknown,range_mean,high,table_p3_ri1_ci4,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Detection limit (μg/kg),Nap_ngg,0.3,Unknown,,high,table_p3_ri1_ci5,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Recovery (%),Ace_ngg,93.0,Unknown,range_mean,high,table_p3_ri2_ci1,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Detection limit (ug/kg),Ace_ngg,0.82,Unknown,,high,table_p3_ri2_ci2,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Recovery (%),Ace_ngg,96.5,Unknown,range_mean,high,table_p3_ri2_ci4,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Detection limit (μg/kg),Ace_ngg,0.54,Unknown,,high,table_p3_ri2_ci5,Recovery and detection limits for 15 PAHs,,,,,,phase14
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Recovery (%),Flu_ngg,96.0,Unknown,range_mean,high,table_p3_ri3_ci1,Recovery and detection limits for 15 PAHs,,,,,,phase14
