paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,UR1,Phe_ngg,0.07,Unknown,,high,table_p3_ri1_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,UR1,Ant_ngg,0.07,Unknown,,high,table_p3_ri1_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,UR1,BaA_ngg,0.48,Unknown,,high,table_p3_ri1_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,UR1,Chr_ngg,0.48,Unknown,,high,table_p3_ri1_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,UR2,Phe_ngg,0.09,Unknown,,high,table_p3_ri2_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,UR2,Ant_ngg,0.09,Unknown,,high,table_p3_ri2_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,UR2,BaA_ngg,0.49,Unknown,,high,table_p3_ri2_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,UR2,Chr_ngg,0.49,Unknown,,high,table_p3_ri2_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,UR3,Phe_ngg,0.19,Unknown,,high,table_p3_ri3_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,UR3,Ant_ngg,0.19,Unknown,,high,table_p3_ri3_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,UR3,BaA_ngg,0.47,Unknown,,high,table_p3_ri3_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,UR3,Chr_ngg,0.47,Unknown,,high,table_p3_ri3_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,UR4,Phe_ngg,0.16,Unknown,,high,table_p3_ri4_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,UR4,Ant_ngg,0.16,Unknown,,high,table_p3_ri4_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,UR4,BaA_ngg,0.49,Unknown,,high,table_p3_ri4_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,UR4,Chr_ngg,0.49,Unknown,,high,table_p3_ri4_ci3,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR5,UR5,Phe_ngg,0.11,Unknown,,high,table_p3_ri5_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR5,UR5,Ant_ngg,0.11,Unknown,,high,table_p3_ri5_ci2,"Table 1 Concentrations of $\sum { _ { 1 6 } \mathrm { P A H s } } ,$ $\sum _ { 4 4 } \mathrm { P C B s } ,$ $\sum \mathrm { \partial } _ { \tau } \mathrm { P C B s } ,$ and $\sum _ { 4 } \mathrm { P C",,,,,,phase14
