paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Detection_limit_(pg),Detection limit (pg),SumHCH_ngg,146.5,Unknown,range_mean,high,table_p2_ri2_ci2,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Values_of_procedure_blank_(pg),Values of procedure blank (pg),SumHCH_ngg,0.41,Unknown,,high,table_p2_ri2_ci3,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Detection_limit_(pg),Detection limit (pg),SumHCH_ngg,146.5,Unknown,range_mean,high,table_p2_ri3_ci2,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Values_of_procedure_blank_(pg),Values of procedure blank (pg),SumHCH_ngg,0.33,Unknown,,high,table_p2_ri3_ci3,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Detection_limit_(pg),Detection limit (pg),SumDDT_ngg,201.0,Unknown,range_mean,high,table_p2_ri7_ci2,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Values_of_procedure_blank_(pg),Values of procedure blank (pg),SumDDT_ngg,0.18,Unknown,,high,table_p2_ri7_ci3,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Detection_limit_(pg),Detection limit (pg),SumDDT_ngg,201.0,Unknown,range_mean,high,table_p2_ri8_ci2,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Values_of_procedure_blank_(pg),Values of procedure blank (pg),SumDDT_ngg,0.5,Unknown,,high,table_p2_ri8_ci3,Table 1. Analytic conditions for MS-MS determination,,,,,,phase14
72341_s00244-006-0111-6,"72341_s00244-006-0111-6_Pyrenees_Mountains,_Europeª","Pyrenees Mountains, Europeª",SumHCH_ngg,0.465,Unknown,range_mean,high,table_p3_ri1_ci2,Table 4. Concentrations of main OCPs in soils (ng $\mathbf { g } ^ { - 1 } )$ from Mt. Qomolangma and other mountain areas,,,,,,phase14
72341_s00244-006-0111-6,"72341_s00244-006-0111-6_Holy_Cross_mountain,_Polandº","Holy Cross mountain, Polandº",SumHCH_ngg,0.575,Unknown,range_mean,high,table_p3_ri1_ci4,Table 4. Concentrations of main OCPs in soils (ng $\mathbf { g } ^ { - 1 } )$ from Mt. Qomolangma and other mountain areas,,,,,,phase14
