paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72350_es0513741,72350_es0513741_air_particles,air particles,Phe_ngg,2.16,Unknown,,high,table_p2_ri1_ci1,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,Ant_ngg,2.16,Unknown,,high,table_p2_ri1_ci1,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,Pyr_ngg,1.68,Unknown,,high,table_p2_ri1_ci2,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,BaA_ngg,0.59,Unknown,,high,table_p2_ri1_ci3,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,Chr_ngg,0.59,Unknown,,high,table_p2_ri1_ci3,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,BbF_ngg,0.81,Unknown,,high,table_p2_ri1_ci4,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,BkF_ngg,0.81,Unknown,,high,table_p2_ri1_ci4,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,BaP_ngg,0.6,Unknown,,high,table_p2_ri1_ci5,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,BghiP_ngg,0.6,Unknown,,high,table_p2_ri1_ci5,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,Ind_ngg,0.92,Unknown,,high,table_p2_ri1_ci6,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_air_particles,air particles,BghiP_ngg,0.92,Unknown,,high,table_p2_ri1_ci6,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,Phe_ngg,0.83,Unknown,,high,table_p2_ri2_ci1,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,Ant_ngg,0.83,Unknown,,high,table_p2_ri2_ci1,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,Pyr_ngg,2.26,Unknown,,high,table_p2_ri2_ci2,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,BaA_ngg,0.6,Unknown,,high,table_p2_ri2_ci3,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,Chr_ngg,0.6,Unknown,,high,table_p2_ri2_ci3,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,BbF_ngg,0.75,Unknown,,high,table_p2_ri2_ci4,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,BkF_ngg,0.75,Unknown,,high,table_p2_ri2_ci4,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,BaP_ngg,0.57,Unknown,,high,table_p2_ri2_ci5,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,BghiP_ngg,0.57,Unknown,,high,table_p2_ri2_ci5,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,Ind_ngg,0.89,Unknown,,high,table_p2_ri2_ci6,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_suspended_solids,suspended solids,BghiP_ngg,0.89,Unknown,,high,table_p2_ri2_ci6,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,Phe_ngg,1.77,Unknown,,high,table_p2_ri3_ci1,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,Ant_ngg,1.77,Unknown,,high,table_p2_ri3_ci1,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,Pyr_ngg,1.54,Unknown,,high,table_p2_ri3_ci2,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,BaA_ngg,0.46,Unknown,,high,table_p2_ri3_ci3,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,Chr_ngg,0.46,Unknown,,high,table_p2_ri3_ci3,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,BbF_ngg,0.41,Unknown,,high,table_p2_ri3_ci4,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,BkF_ngg,0.41,Unknown,,high,table_p2_ri3_ci4,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,BaP_ngg,0.31,Unknown,,high,table_p2_ri3_ci5,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,BghiP_ngg,0.31,Unknown,,high,table_p2_ri3_ci5,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,Ind_ngg,0.72,Unknown,,high,table_p2_ri3_ci6,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_soil,soil,BghiP_ngg,0.72,Unknown,,high,table_p2_ri3_ci6,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
72350_es0513741,72350_es0513741_sediment,sediment,Phe_ngg,0.97,Unknown,,high,table_p2_ri4_ci1,"TABLE 1. RF Values of the Six PAH Ratios in Air Particles, Suspended Solids, Soil, and Sediment Derived from the Multimedia Modeling",,,,,,phase14
