paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Number_of_detected_samples,Number of detected samples,SumHCH_ngg,17.0,Unknown,,high,table_p2_ri2_ci1,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Minimum,Minimum,SumHCH_ngg,24.5,Unknown,,high,table_p2_ri2_ci2,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Maximum,Maximum,SumHCH_ngg,2870.0,Unknown,,high,table_p2_ri2_ci3,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Number_of_detected_samples,Number of detected samples,SumHCH_ngg,16.0,Unknown,,high,table_p2_ri3_ci1,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Maximum,Maximum,SumHCH_ngg,48200.0,Unknown,,high,table_p2_ri3_ci3,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Number_of_detected_samples,Number of detected samples,SumHCH_ngg,17.0,Unknown,,high,table_p2_ri4_ci1,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Minimum,Minimum,SumHCH_ngg,10.8,Unknown,,high,table_p2_ri4_ci2,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Maximum,Maximum,SumHCH_ngg,726.0,Unknown,,high,table_p2_ri4_ci3,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Number_of_detected_samples,Number of detected samples,SumHCH_ngg,17.0,Unknown,,high,table_p2_ri5_ci1,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
72352_s1001-0742(08)62430-4,72352_s1001-0742(08)62430-4_Minimum,Minimum,SumHCH_ngg,136.0,Unknown,,high,table_p2_ri5_ci2,Table 2 Descriptive statistics of data on OCPs measured in Harbin topsoils (unit: pg/g dw),,,,,,phase14
