paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72374_b111204j,72374_b111204j_Soil,Soil,SumHCH_ngg,0.11,Unknown,,high,table_p2_ri2_ci1,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Plant,Plant,SumHCH_ngg,92.0,Unknown,,high,table_p2_ri2_ci2,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Water,Water,SumHCH_ngg,10.6,Unknown,,high,table_p2_ri2_ci3,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Soil,Soil,SumHCH_ngg,0.47,Unknown,,high,table_p2_ri3_ci1,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Plant,Plant,SumHCH_ngg,98.0,Unknown,,high,table_p2_ri3_ci2,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Water,Water,SumHCH_ngg,5.9,Unknown,,high,table_p2_ri3_ci3,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Soil,Soil,SumHCH_ngg,0.19,Unknown,,high,table_p2_ri4_ci1,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Plant,Plant,SumHCH_ngg,89.0,Unknown,,high,table_p2_ri4_ci2,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Water,Water,SumHCH_ngg,16.5,Unknown,,high,table_p2_ri4_ci3,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Soil,Soil,SumHCH_ngg,0.28,Unknown,,high,table_p2_ri5_ci1,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Plant,Plant,SumHCH_ngg,82.0,Unknown,,high,table_p2_ri5_ci2,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Water,Water,SumHCH_ngg,11.7,Unknown,,high,table_p2_ri5_ci3,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Soil,Soil,SumDDT_ngg,0.5,Unknown,,high,table_p2_ri17_ci1,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Plant,Plant,SumDDT_ngg,99.0,Unknown,,high,table_p2_ri17_ci2,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Water,Water,SumDDT_ngg,14.3,Unknown,,high,table_p2_ri17_ci3,"Table 1 The limit of detection (LoD), mean recovery and relative standard deviation (RSD) for OCl pesticides $( n = 6 )$",,,,,,phase14
72374_b111204j,72374_b111204j_Water/ng_1⁻1,Water/ng 1⁻1,SumHCH_ngg,11.81,Unknown,range_mean,high,table_p4_ri2_ci1,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Soil/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,9.2,Unknown,,high,table_p4_ri2_ci2,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Sediment/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,6.77,Unknown,,high,table_p4_ri2_ci3,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,$\mathrm { P l a n t / n g ~ g ^ { - 1 } }$  dry weight,SumHCH_ngg,4.845,Unknown,range_mean,high,table_p4_ri2_ci4,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Water/ng_1⁻1,Water/ng 1⁻1,SumHCH_ngg,27.085,Unknown,range_mean,high,table_p4_ri3_ci1,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Soil/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,21.72,Unknown,,high,table_p4_ri3_ci2,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Sediment/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,14.01,Unknown,,high,table_p4_ri3_ci3,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,$\mathrm { P l a n t / n g ~ g ^ { - 1 } }$  dry weight,SumHCH_ngg,18.29,Unknown,range_mean,high,table_p4_ri3_ci4,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Water/ng_1⁻1,Water/ng 1⁻1,SumHCH_ngg,6.56,Unknown,range_mean,high,table_p4_ri4_ci1,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Soil/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,5.38,Unknown,,high,table_p4_ri4_ci2,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Sediment/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,4.28,Unknown,,high,table_p4_ri4_ci3,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,$\mathrm { P l a n t / n g ~ g ^ { - 1 } }$  dry weight,SumHCH_ngg,2.57,Unknown,range_mean,high,table_p4_ri4_ci4,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Water/ng_1⁻1,Water/ng 1⁻1,SumHCH_ngg,17.545,Unknown,range_mean,high,table_p4_ri5_ci1,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Soil/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,13.24,Unknown,,high,table_p4_ri5_ci2,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Sediment/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumHCH_ngg,9.17,Unknown,,high,table_p4_ri5_ci3,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,$\mathrm { P l a n t / n g ~ g ^ { - 1 } }$  dry weight,SumHCH_ngg,6.91,Unknown,range_mean,high,table_p4_ri5_ci4,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Water/ng_1⁻1,Water/ng 1⁻1,SumDDT_ngg,33.489999999999995,Unknown,range_mean,high,table_p4_ri17_ci1,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Soil/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumDDT_ngg,30.56,Unknown,,high,table_p4_ri17_ci2,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,Sediment/ng  $\mathbf { g } ^ { - 1 }$  dry weight,SumDDT_ngg,13.86,Unknown,,high,table_p4_ri17_ci3,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,$\mathrm { P l a n t / n g ~ g ^ { - 1 } }$  dry weight,SumDDT_ngg,3.88,Unknown,range_mean,high,table_p4_ri17_ci4,"Table 2 Concentrations of OCl pesticides in water, soil, sediment and plant from the River Wuchuan",,,,,,phase14
