paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,Nap_ngg,0.001,Unknown,,high,table_p2_ri1_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,Phe_ngg,0.001,Unknown,,high,table_p2_ri4_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,Flu_ngg,0.001,Unknown,,high,table_p2_ri6_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,Pyr_ngg,0.001,Unknown,,high,table_p2_ri7_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,BaA_ngg,0.1,Unknown,,high,table_p2_ri8_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_$\mathrm_{_T_E_F___{_T_C_D_D_}_}_^_{_b_}$,$\mathrm { T E F _ { T C D D } } ^ { b }$,BaA_ngg,2.5e-05,Unknown,,high,table_p2_ri8_ci2,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,Chr_ngg,0.01,Unknown,,high,table_p2_ri9_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_$\mathrm_{_T_E_F___{_T_C_D_D_}_}_^_{_b_}$,$\mathrm { T E F _ { T C D D } } ^ { b }$,Chr_ngg,0.0002,Unknown,,high,table_p2_ri9_ci2,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,BbF_ngg,0.1,Unknown,,high,table_p2_ri10_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_$\mathrm_{_T_E_F___{_T_C_D_D_}_}_^_{_b_}$,$\mathrm { T E F _ { T C D D } } ^ { b }$,BbF_ngg,0.00253,Unknown,,high,table_p2_ri10_ci2,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,BkF_ngg,0.1,Unknown,,high,table_p2_ri11_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_$\mathrm_{_T_E_F___{_T_C_D_D_}_}_^_{_b_}$,$\mathrm { T E F _ { T C D D } } ^ { b }$,BkF_ngg,0.00478,Unknown,,high,table_p2_ri11_ci2,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,BaP_ngg,1.0,Unknown,,high,table_p2_ri12_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_$\mathrm_{_T_E_F___{_T_C_D_D_}_}_^_{_b_}$,$\mathrm { T E F _ { T C D D } } ^ { b }$,BaP_ngg,0.000354,Unknown,,high,table_p2_ri12_ci2,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_${_\mathrm_{_T_E_F_}_}___{_\mathbf_{_B_a_P_}_}_a_^_{_a_}$,${ \mathrm { T E F } } _ { \mathbf { B a P } } a ^ { a }$,BghiP_ngg,0.01,Unknown,,high,table_p2_ri14_ci1,"Table 1 Average concentration  standard deviation (median value) of PAHs (ng g<sup>1</sup> dry weight) in soils from Dalian, and TEF values",,,,,,phase14
72386_b617338c,72386_b617338c_Hong_Kong,Hong Kong,Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri1_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
72386_b617338c,"72386_b617338c_Seine_River_basin,_France","Seine River basin, France",Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri2_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
72386_b617338c,"72386_b617338c_Chiang-Mai,_Thailand","Chiang-Mai, Thailand",Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri3_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
72386_b617338c,"72386_b617338c_New_Orleans,_USA","New Orleans, USA",Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri4_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
72386_b617338c,72386_b617338c_South_Korea,South Korea,Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri5_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
72386_b617338c,"72386_b617338c_Beijing,_China","Beijing, China",Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri6_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
72386_b617338c,72386_b617338c_Switzerland,Switzerland,Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri7_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
72386_b617338c,72386_b617338c_Estonia,Estonia,Sum_PAH_ngg,12.0,Unknown,,high,table_p2_ri8_ci2,Table 2 Comparison of recent measurement of SPAHs in soils from various studies (ng $\mathbf { g } ^ { - 1 } )$,,,,,,phase14
