paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_LODs__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,LODs  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,SumDDT_ngg,0.027,Unknown,,high,table_p2_ri3_ci1,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),Recovery (%),SumDDT_ngg,89.58,Unknown,,high,table_p2_ri3_ci2,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),RSD (%),SumDDT_ngg,5.36,Unknown,,high,table_p2_ri3_ci3,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,$\mathsf { L O D s } ( \mathsf { n g g } ^ { - 1 } )$,SumDDT_ngg,0.02,Unknown,,high,table_p2_ri3_ci5,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),Recovery (%),SumDDT_ngg,68.87,Unknown,,high,table_p2_ri3_ci6,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),RSD (%),SumDDT_ngg,7.82,Unknown,,high,table_p2_ri3_ci7,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_LODs__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,LODs  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,SumDDT_ngg,0.015,Unknown,,high,table_p2_ri4_ci1,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),Recovery (%),SumDDT_ngg,86.21,Unknown,,high,table_p2_ri4_ci2,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),RSD (%),SumDDT_ngg,8.13,Unknown,,high,table_p2_ri4_ci3,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,$\mathsf { L O D s } ( \mathsf { n g g } ^ { - 1 } )$,SumDDT_ngg,0.02,Unknown,,high,table_p2_ri4_ci5,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),Recovery (%),SumDDT_ngg,78.34,Unknown,,high,table_p2_ri4_ci6,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),RSD (%),SumDDT_ngg,6.68,Unknown,,high,table_p2_ri4_ci7,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_LODs__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,LODs  $( \mathrm { n g } \mathrm { g } ^ { - 1 } )$,SumHCH_ngg,0.007,Unknown,,high,table_p2_ri5_ci1,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),Recovery (%),SumHCH_ngg,91.43,Unknown,,high,table_p2_ri5_ci2,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),RSD (%),SumHCH_ngg,6.66,Unknown,,high,table_p2_ri5_ci3,"The limit of detections, spiked recoveries and RSD of the method.",,,,,,phase14
