paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Max_(μg·kg−1),Max (μg·kg−1),SDZ_ngg,6.75,Unknown,,high,table_p5_ri1_ci1,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Median_(μg·kg−1),Median (μg·kg−1),SDZ_ngg,0.2,Unknown,,high,table_p5_ri1_ci3,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Mean_(μg·kg−1),Mean (μg·kg−1),SDZ_ngg,0.39,Unknown,,high,table_p5_ri1_ci4,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Detection_Rate_(%),Detection Rate (%),SDZ_ngg,73.8,Unknown,,high,table_p5_ri1_ci5,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Max_(μg·kg−1),Max (μg·kg−1),SMZ_ngg,328.0,Unknown,,high,table_p5_ri5_ci1,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Mean_(μg·kg−1),Mean (μg·kg−1),SMZ_ngg,2.93,Unknown,,high,table_p5_ri5_ci4,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Detection_Rate_(%),Detection Rate (%),SMZ_ngg,24.6,Unknown,,high,table_p5_ri5_ci5,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Max_(μg·kg−1),Max (μg·kg−1),ENRO_ngg,244.0,Unknown,,high,table_p5_ri8_ci1,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Mean_(μg·kg−1),Mean (μg·kg−1),ENRO_ngg,6.39,Unknown,,high,table_p5_ri8_ci4,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
Chen Y - 2025 - Soil antibiotic pollution and ecol,Chen Y - 2025 - Soil antibiotic pollution and ecol_Detection_Rate_(%),Detection Rate (%),ENRO_ngg,32.1,Unknown,,high,table_p5_ri8_ci5,"Table 1. Concentration and detection rate of antibiotics in vegetable soil of PRD region, China.",,,,,,phase14
