paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,M. mohoity in MWRBª area,SumPCB_ngg,0.685,Unknown,range_mean,high,table_p4_ri3_ci1,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,M. mohoity in MSRBb area,SumPCB_ngg,0.49000000000000005,Unknown,range_mean,high,table_p4_ri3_ci2,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_MSRB_area,P. dabryanus in MSRB area,SumPCB_ngg,0.52,Unknown,range_mean,high,table_p4_ri3_ci3,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_LDRB_area,P. dabryanus in LDRB area,SumPCB_ngg,0.52,Unknown,range_mean,high,table_p4_ri3_ci4,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_Total,Total,SumPCB_ngg,0.64,Unknown,range_mean,high,table_p4_ri3_ci5,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,M. mohoity in MWRBª area,SumHCH_ngg,1560.1499999999999,Unknown,range_mean,high,table_p4_ri4_ci1,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,M. mohoity in MSRBb area,SumHCH_ngg,2390.7,Unknown,range_mean,high,table_p4_ri4_ci2,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_MSRB_area,P. dabryanus in MSRB area,SumHCH_ngg,1446.95,Unknown,range_mean,high,table_p4_ri4_ci3,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_LDRB_area,P. dabryanus in LDRB area,SumHCH_ngg,5043.5,Unknown,range_mean,high,table_p4_ri4_ci4,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_Total,Total,SumHCH_ngg,4268.5,Unknown,range_mean,high,table_p4_ri4_ci5,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,M. mohoity in MWRBª area,SumDDT_ngg,264.5,Unknown,range_mean,high,table_p4_ri13_ci1,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,M. mohoity in MSRBb area,SumDDT_ngg,794.65,Unknown,range_mean,high,table_p4_ri13_ci2,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_MSRB_area,P. dabryanus in MSRB area,SumDDT_ngg,999.45,Unknown,range_mean,high,table_p4_ri13_ci3,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_LDRB_area,P. dabryanus in LDRB area,SumDDT_ngg,1030.55,Unknown,range_mean,high,table_p4_ri13_ci4,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_Total,Total,SumDDT_ngg,264.5,Unknown,range_mean,high,table_p4_ri13_ci5,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,M. mohoity in MWRBª area,SumOCP_ngg,14.85,Unknown,range_mean,high,table_p4_ri15_ci1,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,M. mohoity in MSRBb area,SumOCP_ngg,83.8,Unknown,range_mean,high,table_p4_ri15_ci2,"Concentrations (range and mean in parenthesis, pg $\mathbf { g } ^ { - 1 }$ wet weight) of PCBs and OCPs in loaches.",,,,,,phase14
