paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_1,1,Sum_PAH_ngg,9.6,Unknown,,high,table_p2_ri1_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_1,1,Sum_PAH_ngg,56.0,Unknown,,high,table_p2_ri1_ci7,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_2,2,Sum_PAH_ngg,30.0,Unknown,,high,table_p2_ri2_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_3,3,Sum_PAH_ngg,20.0,Unknown,,high,table_p2_ri3_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_4,4,Sum_PAH_ngg,6.6,Unknown,,high,table_p2_ri4_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_4,4,Sum_PAH_ngg,33.0,Unknown,,high,table_p2_ri4_ci7,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_5,5,Sum_PAH_ngg,19.0,Unknown,,high,table_p2_ri5_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_6,6,Sum_PAH_ngg,20.0,Unknown,,high,table_p2_ri6_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_7,7,Sum_PAH_ngg,14.0,Unknown,,high,table_p2_ri7_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_7,7,Sum_PAH_ngg,64.0,Unknown,,high,table_p2_ri7_ci7,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_8,8,Sum_PAH_ngg,16.0,Unknown,,high,table_p2_ri8_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_8,8,Sum_PAH_ngg,90.0,Unknown,,high,table_p2_ri8_ci7,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_9,9,Sum_PAH_ngg,21.0,Unknown,,high,table_p2_ri9_ci5,Description of soil samples in a subarea and concentrations of individual PAHs (ng/g dm) in the Central Himalayas.,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_No._of_ring,No. of ring,Nap_ngg,23.0,Unknown,,high,table_p4_ri2_ci1,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,Nap_ngg,0.001,Unknown,,high,table_p4_ri2_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_SQGsb,SQGsb,Nap_ngg,600.0,Unknown,,high,table_p4_ri2_ci3,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,Nap_ngg,23.0,Unknown,,high,table_p4_ri2_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,Acy_ngg,0.001,Unknown,,high,table_p4_ri3_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_SQGsb,SQGsb,Acy_ngg,320000.0,Unknown,,high,table_p4_ri3_ci3,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,Acy_ngg,0.78,Unknown,,high,table_p4_ri3_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_No._of_ring,No. of ring,Phe_ngg,3.0,Unknown,,high,table_p4_ri6_ci1,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,Phe_ngg,0.001,Unknown,,high,table_p4_ri6_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_SQGsb,SQGsb,Phe_ngg,100.0,Unknown,,high,table_p4_ri6_ci3,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,"_dup_j.scitotenv.2016.03.006_Tibetan_Plateau,_China_(n_=_65)","Tibetan Plateau, China (n = 65)",Phe_ngg,137.7,Unknown,range_mean,high,table_p4_ri6_ci4,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,Phe_ngg,27.0,Unknown,,high,table_p4_ri6_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_No._of_ring,No. of ring,Ant_ngg,3.0,Unknown,,high,table_p4_ri7_ci1,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,Ant_ngg,0.01,Unknown,,high,table_p4_ri7_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_SQGsb,SQGsb,Ant_ngg,2500.0,Unknown,,high,table_p4_ri7_ci3,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,Ant_ngg,18.0,Unknown,,high,table_p4_ri7_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_No._of_ring,No. of ring,Flt_ngg,4.0,Unknown,,high,table_p4_ri8_ci1,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,Flt_ngg,0.001,Unknown,,high,table_p4_ri8_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_SQGsb,SQGsb,Flt_ngg,50000.0,Unknown,,high,table_p4_ri8_ci3,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,"_dup_j.scitotenv.2016.03.006_Tibetan_Plateau,_China_(n_=_65)","Tibetan Plateau, China (n = 65)",Flt_ngg,34.45,Unknown,range_mean,high,table_p4_ri8_ci4,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,Flt_ngg,6.6,Unknown,,high,table_p4_ri8_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_No._of_ring,No. of ring,Pyr_ngg,4.0,Unknown,,high,table_p4_ri9_ci1,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,Pyr_ngg,0.001,Unknown,,high,table_p4_ri9_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_SQGsb,SQGsb,Pyr_ngg,100.0,Unknown,,high,table_p4_ri9_ci3,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,"_dup_j.scitotenv.2016.03.006_Tibetan_Plateau,_China_(n_=_65)","Tibetan Plateau, China (n = 65)",Pyr_ngg,23.05,Unknown,range_mean,high,table_p4_ri9_ci4,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,Pyr_ngg,4.3,Unknown,,high,table_p4_ri9_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_No._of_ring,No. of ring,BaA_ngg,4.0,Unknown,,high,table_p4_ri10_ci1,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,BaA_ngg,0.1,Unknown,,high,table_p4_ri10_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_SQGsb,SQGsb,BaA_ngg,100.0,Unknown,,high,table_p4_ri10_ci3,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,"_dup_j.scitotenv.2016.03.006_Tibetan_Plateau,_China_(n_=_65)","Tibetan Plateau, China (n = 65)",BaA_ngg,4.98,Unknown,range_mean,high,table_p4_ri10_ci4,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,BaA_ngg,0.61,Unknown,,high,table_p4_ri10_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_No._of_ring,No. of ring,Chr_ngg,4.0,Unknown,,high,table_p4_ri11_ci1,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_EFa,EFa,Chr_ngg,0.01,Unknown,,high,table_p4_ri11_ci2,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,"_dup_j.scitotenv.2016.03.006_Tibetan_Plateau,_China_(n_=_65)","Tibetan Plateau, China (n = 65)",Chr_ngg,23.81,Unknown,range_mean,high,table_p4_ri11_ci4,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
_dup_j.scitotenv.2016.03.006,_dup_j.scitotenv.2016.03.006_$\mathrm_{_T_o_t_a_l_}_\_(_n_=_1_6_4_)$,$\mathrm { T o t a l } \ ( n = 1 6 4 )$,Chr_ngg,1.9,Unknown,,high,table_p4_ri11_ci6,Concentrations and soil quality guidelines ( SQGs ) ( ng/g dm ) of PAHs in surface soils from the Central-Himalaya region ( ng/g dm ) .,,,,,,phase14
