paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
s11356-021-15532-8,s11356-021-15532-8_Skew,Skew,Nap_ngg,1.57,Unknown,,high,table_p5_ri1_ci6,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,$\mathrm { D F } \left( \% \right)$,Nap_ngg,100.0,Unknown,,high,table_p5_ri1_ci7,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_Skew,Skew,Mn_mgkg,2.07,Unknown,,high,table_p5_ri2_ci6,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,$\mathrm { D F } \left( \% \right)$,Mn_mgkg,100.0,Unknown,,high,table_p5_ri2_ci7,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_Skew,Skew,Mn_mgkg,2.05,Unknown,,high,table_p5_ri3_ci6,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,$\mathrm { D F } \left( \% \right)$,Mn_mgkg,100.0,Unknown,,high,table_p5_ri3_ci7,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_Skew,Skew,Acy_ngg,7.06,Unknown,,high,table_p5_ri4_ci6,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,$\mathrm { D F } \left( \% \right)$,Acy_ngg,100.0,Unknown,,high,table_p5_ri4_ci7,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_Skew,Skew,Ace_ngg,2.36,Unknown,,high,table_p5_ri5_ci6,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,$\mathrm { D F } \left( \% \right)$,Ace_ngg,100.0,Unknown,,high,table_p5_ri5_ci7,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_Skew,Skew,Phe_ngg,6.56,Unknown,,high,table_p5_ri7_ci6,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
s11356-021-15532-8,s11356-021-15532-8_$\mathrm_{_D_F_}_\left(_\%_\right)$,$\mathrm { D F } \left( \% \right)$,Phe_ngg,100.0,Unknown,,high,table_p5_ri7_ci7,Table 2 Concentrations $\mathrm { ( n g ~ g ^ { - 1 } ) }$ of PAHs in urban road dust from Shanghai
