paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),Statistical Parameters (ng/g),SumHCH_ngg,0.33,Unknown,,high,table_p5_ri2_ci1,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),MDLs (ng/g),SumHCH_ngg,1.38,Unknown,,high,table_p5_ri2_ci3,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_DF,DF,SumHCH_ngg,1.0,Unknown,,high,table_p5_ri2_ci4,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),MDLs (ng/g),SumHCH_ngg,4.94,Unknown,,high,table_p5_ri3_ci3,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_DF,DF,SumHCH_ngg,3.23,Unknown,,high,table_p5_ri3_ci4,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),Statistical Parameters (ng/g),SumHCH_ngg,1.54,Unknown,,high,table_p5_ri4_ci1,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),MDLs (ng/g),SumHCH_ngg,7.24,Unknown,,high,table_p5_ri4_ci3,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_DF,DF,SumHCH_ngg,6.42,Unknown,,high,table_p5_ri4_ci4,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),Statistical Parameters (ng/g),SumHCH_ngg,0.15,Unknown,,high,table_p5_ri5_ci1,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),MDLs (ng/g),SumHCH_ngg,2.11,Unknown,,high,table_p5_ri5_ci3,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry weight) of organochlorine pesticides (OCPs) in the central urban area soil samples of Changchun City, NE China (n = 48)."
