paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,As_mgkg,11.11,Unknown,,high,table_p7_ri1_ci1,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,Cd_mgkg,0.19,Unknown,,high,table_p7_ri1_ci2,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,Cu_mgkg,26.92,Unknown,,high,table_p7_ri1_ci3,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,Pb_mgkg,14.03,Unknown,,high,table_p7_ri1_ci4,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,Ni_mgkg,44.33,Unknown,,high,table_p7_ri1_ci6,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,Mn_mgkg,513.92,Unknown,,high,table_p7_ri1_ci8,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,Co_mgkg,15.96,Unknown,,high,table_p7_ri1_ci9,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Mean__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mean  $\left( \mu \mathrm { g } / \mathrm { g } \right)$,Be_mgkg,2.43,Unknown,,high,table_p7_ri1_ci11,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Min_(μg/g),Min (μg/g),As_mgkg,6.97,Unknown,,high,table_p7_ri2_ci1,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Min_(μg/g),Min (μg/g),Cd_mgkg,0.09,Unknown,,high,table_p7_ri2_ci2,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
toxics-14-00049,toxics-14-00049_Min_(μg/g),Min (μg/g),Cu_mgkg,14.0,Unknown,,high,table_p7_ri2_ci3,Table 1. Statistical analysis of heavy metal concentrations in the soil samples.
