paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
water-15-02002,water-15-02002_Sta,Sta,Nap_ngg,25.0,Unknown,,high,table_p5_ri2_ci7,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Sta,Sta,Acy_ngg,25.0,Unknown,,high,table_p5_ri2_ci7,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Point_Detection_Rate,Point Detection Rate,Nap_ngg,10060.0,Unknown,,high,table_p5_ri2_ci8,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Point_Detection_Rate,Point Detection Rate,Acy_ngg,10060.0,Unknown,,high,table_p5_ri2_ci8,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Points_Exceeding_Standard,Points Exceeding Standard,Nap_ngg,50.0,Unknown,,high,table_p5_ri2_ci9,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Points_Exceeding_Standard,Points Exceeding Standard,Acy_ngg,50.0,Unknown,,high,table_p5_ri2_ci9,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Samples_Exceeding_Standard_Rate,Samples Exceeding Standard Rate,Nap_ngg,14.85,Unknown,,high,table_p5_ri2_ci11,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Samples_Exceeding_Standard_Rate,Samples Exceeding Standard Rate,Acy_ngg,14.85,Unknown,,high,table_p5_ri2_ci11,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Detection_Limit,Detection Limit,Ace_ngg,0.1,Unknown,,high,table_p5_ri3_ci1,Table 1. PAH content in the soil (Unit: mg/kg).
water-15-02002,water-15-02002_Variation_Coefficient,Variation Coefficient,Ace_ngg,3.76,Unknown,,high,table_p5_ri3_ci6,Table 1. PAH content in the soil (Unit: mg/kg).
