paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,Sample 1,SumHCH_ngg,1393.08,Unknown,,high,table_p3_ri1_ci1,表3 实际土壤样品中有机氯农药的含量 Table 3 Contents of OCPs in soil samples
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,Sample 2,SumHCH_ngg,3.93,Unknown,,high,table_p3_ri1_ci2,表3 实际土壤样品中有机氯农药的含量 Table 3 Contents of OCPs in soil samples
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,Sample 3,SumHCH_ngg,61.22,Unknown,,high,table_p3_ri1_ci3,表3 实际土壤样品中有机氯农药的含量 Table 3 Contents of OCPs in soil samples
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,Sample 1,SumHCH_ngg,3852.21,Unknown,,high,table_p3_ri3_ci1,表3 实际土壤样品中有机氯农药的含量 Table 3 Contents of OCPs in soil samples
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,Sample 2,SumHCH_ngg,96.89,Unknown,,high,table_p3_ri3_ci2,表3 实际土壤样品中有机氯农药的含量 Table 3 Contents of OCPs in soil samples
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,Sample 3,SumHCH_ngg,24.62,Unknown,,high,table_p3_ri3_ci3,表3 实际土壤样品中有机氯农药的含量 Table 3 Contents of OCPs in soil samples
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,Sample 1,SumHCH_ngg,1246.53,Unknown,,high,table_p3_ri5_ci1,表3 实际土壤样品中有机氯农药的含量 Table 3 Contents of OCPs in soil samples
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,Sample 1,SumDDT_ngg,7100.06,Unknown,,high,table_p3_ri9_ci1,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,Sample 2,SumDDT_ngg,0.23,Unknown,,high,table_p3_ri9_ci2,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,Sample 3,SumDDT_ngg,222.31,Unknown,,high,table_p3_ri9_ci3,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,Sample 1,SumDDT_ngg,18310.48,Unknown,,high,table_p3_ri10_ci1,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,Sample 2,SumDDT_ngg,1.47,Unknown,,high,table_p3_ri10_ci2,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,Sample 3,SumDDT_ngg,730.9,Unknown,,high,table_p3_ri10_ci3,
