paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Acceptable_concentration_range,Acceptable concentration range,SumHCH_ngg,184.55,Unknown,range_mean,high,table_p2_ri1_ci1,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Certified_value,Certified value,SumHCH_ngg,150.0,Unknown,,high,table_p2_ri1_ci2,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Determined_value,Determined value,SumHCH_ngg,157.0,Unknown,,high,table_p2_ri1_ci3,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Acceptable_concentration_range,Acceptable concentration range,SumHCH_ngg,103.95,Unknown,range_mean,high,table_p2_ri2_ci1,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Certified_value,Certified value,SumHCH_ngg,80.4,Unknown,,high,table_p2_ri2_ci2,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Determined_value,Determined value,SumHCH_ngg,123.0,Unknown,,high,table_p2_ri2_ci3,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Acceptable_concentration_range,Acceptable concentration range,SumHCH_ngg,192.1,Unknown,range_mean,high,table_p2_ri3_ci1,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Certified_value,Certified value,SumHCH_ngg,161.0,Unknown,,high,table_p2_ri3_ci2,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Determined_value,Determined value,SumHCH_ngg,133.0,Unknown,,high,table_p2_ri3_ci3,表1 APG公司的土壤样品中有机氯农药标准样品的测定结果 Table 1 Results of organochlorine pesticides in soil reference materials from APG μg/kg
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,Soil from Tianjin,SumHCH_ngg,239.0,Unknown,,high,table_p3_ri2_ci1,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,Soil from Nanjing,SumHCH_ngg,14.0,Unknown,,high,table_p3_ri2_ci2,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,Soil from Shenyang,SumHCH_ngg,53.0,Unknown,,high,table_p3_ri2_ci3,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,Soil from Tianjin,SumHCH_ngg,304.0,Unknown,,high,table_p3_ri3_ci1,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,Soil from Nanjing,SumHCH_ngg,7.9,Unknown,,high,table_p3_ri3_ci2,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,Soil from Shenyang,SumHCH_ngg,47.0,Unknown,,high,table_p3_ri3_ci3,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,Soil from Tianjin,SumHCH_ngg,308.0,Unknown,,high,table_p3_ri4_ci1,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,Soil from Nanjing,SumHCH_ngg,12.0,Unknown,,high,table_p3_ri4_ci2,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,Soil from Shenyang,SumHCH_ngg,51.0,Unknown,,high,table_p3_ri4_ci3,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,Soil from Tianjin,SumHCH_ngg,200.0,Unknown,,high,table_p3_ri5_ci1,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,Soil from Nanjing,SumHCH_ngg,14.0,Unknown,,high,table_p3_ri5_ci2,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,Soil from Shenyang,SumHCH_ngg,48.0,Unknown,,high,table_p3_ri5_ci3,表3 土壤候选物中有机氯农药的测定结果 $\left( \pmb { n } = 1 0 \right)$ Table 3 Results of organochlorine pesticides in soil candidate reference materials $\left( \pmb { n } = 1 0 \right)$
