paper_id,level,stem,tbl_idx,n_rows,n_cols,has_hm,has_op,has_conc,has_phys,has_site,is_data_table,is_hm_op_table,cols_preview
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,0,13,13,True,False,False,False,False,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,1,12,12,True,False,False,False,False,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,2,4,10,True,False,False,False,False,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
P00137,A,2019_Wang C et al_LandDegradDev_10.1002-ldr.3456_3,0,24,11,True,True,False,False,False,True,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
P00245,A,10_1007_s00244_019_00675_0,0,10,7,False,True,False,True,False,True,False,"[0, 1, 2, 3, 4, 5, 6]"
P00245,A,10_1007_s00244_019_00675_0,1,14,6,True,True,True,True,True,True,True,"[0, 1, 2, 3, 4, 5]"
P00408,A,10.1007_s10661-019-7476-2,0,11,10,True,False,True,False,False,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
P00408,A,10.1007_s10661-019-7476-2,1,6,8,False,False,False,False,True,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]"
P00408,A,10.1007_s10661-019-7476-2,2,5,5,False,False,False,False,True,False,False,"[0, 1, 2, 3, 4]"
P00408,A,10.1007_s10661-019-7476-2,3,16,6,False,False,False,False,True,False,False,"[0, 1, 2, 3, 4, 5]"
P00408,A,10.1007_s10661-019-7476-2,4,11,10,False,True,False,False,True,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,0,17,7,True,True,False,True,True,True,True,"[0, 1, 2, 3, 4, 5, 6]"
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,1,18,10,True,True,False,True,True,True,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,2,16,16,False,True,False,True,False,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
P11023,A,2018_任毅_土壤_null,0,11,6,True,True,True,False,False,True,True,"[0, 1, 2, 3, 4, 5]"
P11023,A,2018_任毅_土壤_null,1,13,4,True,True,False,False,False,True,True,"[0, 1, 2, 3]"
P11023,A,2018_任毅_土壤_null,2,18,14,True,False,True,False,False,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
P11023,A,2018_任毅_土壤_null,3,5,3,False,False,True,False,False,True,False,"[0, 1, 2]"
P11023,A,2018_任毅_土壤_null,4,7,5,False,False,False,False,False,False,False,"[0, 1, 2, 3, 4]"
P11023,A,2018_任毅_土壤_null,5,9,6,True,False,True,False,False,True,False,"[0, 1, 2, 3, 4, 5]"
P11023,A,2018_任毅_土壤_null,6,6,5,False,False,False,False,False,False,False,"[0, 1, 2, 3, 4]"
P11023,A,2018_任毅_土壤_null,7,7,10,True,True,False,False,False,True,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,0,35,12,True,True,False,True,False,True,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,1,35,9,True,True,False,True,False,True,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,2,5,6,False,True,False,False,False,True,False,"[0, 1, 2, 3, 4, 5]"
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,3,7,9,True,False,False,True,False,True,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,4,10,17,False,False,False,True,False,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
P03291,A,2023_俞明等_现代化工_10.16606-j.cnki.issn0253-4320.2023.07.043,0,6,4,False,False,False,False,False,False,False,"[0, 1, 2, 3]"
P03291,A,2023_俞明等_现代化工_10.16606-j.cnki.issn0253-4320.2023.07.043,1,6,3,True,False,False,False,False,True,False,"[0, 1, 2]"
P03823,A,2025_Song Q et al_FrontMicrobiol_10.3389-fmicb.2025.1544233,0,6,8,True,False,False,False,True,True,False,"[0, 1, 2, 3, 4, 5, 6, 7]"
P03823,A,2025_Song Q et al_FrontMicrobiol_10.3389-fmicb.2025.1544233,1,5,6,True,False,False,True,True,True,False,"[0, 1, 2, 3, 4, 5]"
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,0,55,7,True,True,False,True,True,True,True,"[0, 1, 2, 3, 4, 5, 6]"
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,1,8,4,True,False,False,True,True,True,False,"[0, 1, 2, 3]"
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,2,8,6,True,True,False,False,False,True,True,"[0, 1, 2, 3, 4, 5]"
P03838,A,2024_Wang Y et al_FrontPlantSci_10.3389-fpls.2024.1505670,0,10,6,True,False,False,False,False,True,False,"[0, 1, 2, 3, 4, 5]"
P03838,A,2024_Wang Y et al_FrontPlantSci_10.3389-fpls.2024.1505670,1,14,6,True,False,False,False,False,True,False,"[0, 1, 2, 3, 4, 5]"
