paper_id,level,stem,md_exists,pdf_exists,table_lines,sep_lines,total_lines,n_figures,n_images_files,has_table,table_density
P01646,A,10.1016_j.jhazmat.2025.140728,True,True,0,0,550,95,0,False,0.0
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,True,True,0,0,220,17,0,False,0.0
P00137,A,2019_Wang C et al_LandDegradDev_10.1002-ldr.3456_3,True,True,0,0,246,19,0,False,0.0
P00245,A,10_1007_s00244_019_00675_0,True,True,0,0,255,27,0,False,0.0
P00408,A,10.1007_s10661-019-7476-2,True,True,0,0,289,26,0,False,0.0
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,True,True,0,0,209,21,0,False,0.0
P11648,A,2026_Kang Y et al_Unknown_null,True,True,0,0,45,2,0,False,0.0
P00411,A,2019_Monitoring HE_EnvironMonitAssess_10.1007-s10661-019-7514-7,True,True,0,0,294,5,0,False,0.0
P11023,A,2018_任毅_土壤_null,True,True,0,0,164,17,0,False,0.0
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,True,True,0,0,483,61,0,False,0.0
P03291,A,2023_俞明等_现代化工_10.16606-j.cnki.issn0253-4320.2023.07.043,True,True,0,0,180,8,0,False,0.0
P03823,A,2025_Song Q et al_FrontMicrobiol_10.3389-fmicb.2025.1544233,True,True,0,0,540,55,0,False,0.0
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,True,True,0,0,323,31,0,False,0.0
P03838,A,2024_Wang Y et al_FrontPlantSci_10.3389-fpls.2024.1505670,True,True,0,0,350,31,0,False,0.0
P04669,A,2024_Lu Y et al_Unknown_null,True,True,0,0,318,69,0,False,0.0
P11456,A,2023_魏晓莉_Unknown_null,True,True,0,0,1158,121,0,False,0.0
P01182,A,2023_Zhang D et al_Chemosphere_10.1016-j.chemosphere.2023.140288,True,True,0,0,406,72,0,False,0.0
P01511,A,2023_Tan YGHGWSNFY et al_JEnvironSci_10.1016-j.jes.2022.04.038,True,True,0,0,250,39,0,False,0.0
P01595,A,2023_Hou Y et al_JHazardMater_10.1016-j.jhazmat.2023.130934,True,True,0,0,342,62,0,False,0.0
P01603,A,10.1016_j.jhazmat.2023.132408,True,True,0,0,44,2,0,False,0.0
P01836,A,10.1016_j.scitotenv.2023.167337,True,True,0,0,44,2,0,False,0.0
P09065,A,2024_Liu Y et al_JHazardMater_null_2,True,True,0,0,241,38,0,False,0.0
P11424,A,2023_Wu J et al_SciTotalEnviron_null,True,True,0,0,385,49,0,False,0.0
P11439,A,2023_刘泽浩_土壤_null,True,True,0,0,1293,150,0,False,0.0
P01169,A,2022_PAHs E et al_Chemosphere_10.1016-j.chemosphere.2022.133734_1,True,True,0,0,276,35,0,False,0.0
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,True,True,0,0,369,38,0,False,0.0
P01587,A,2022_Wang X et al_EnvironPollut_10.1016-j.jhazmat.2022.129727,True,True,0,0,323,47,0,False,0.0
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,True,True,0,0,182,12,0,False,0.0
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,True,True,0,0,332,37,0,False,0.0
P04243,A,10_3390_ijerph191912860,True,True,0,0,264,33,0,False,0.0
P04258,A,10.3390_ijerph192416930,True,True,0,0,327,26,0,False,0.0
P10958,A,2017_物联合修_土壤_null,True,True,0,0,1295,150,0,False,0.0
P11323,A,2022_Liang T et al_SciTotalEnviron_null,True,True,0,0,52,2,0,False,0.0
P11365,A,2022_陈驰_Unknown_null,True,True,0,0,1416,149,0,False,0.0
P01783,A,2021_Zhouetal_SciTotalEnviron_10.1016-j.scitotenv.2020.141924,True,True,0,0,348,21,0,False,0.0
P01936,A,2021_Hu J et al_EnvironPollut_10.1021-acs.est.0c07983,True,True,0,0,285,30,0,False,0.0
P08407,A,2021_Fan G et al_Chemosphere_null,True,True,0,0,262,34,0,False,0.0
P08851,A,2023_Lu X et al_EcotoxicolEnvironSaf_null,True,True,0,0,414,84,0,False,0.0
P09544,A,2026_Zhang X et al_JEnvironManage_null,True,True,0,0,30,1,0,False,0.0
P11214,A,2021_Fan G et al_Chemosphere_null_1,True,True,0,0,262,34,0,False,0.0
P11241,A,2021_Liu Q et al_EnvironPollut_null,True,True,0,0,37,1,0,False,0.0
P11254,A,2021_PAHs et al_EnvironPollut_null_from_sub,True,True,0,0,376,29,0,False,0.0
P01219,A,10.1016_j.ecoenv.2020.110651,True,True,0,0,236,14,0,False,0.0
P08569,A,2021_Unknown_SciTotalEnviron_null_from_sub,True,True,0,0,348,21,0,False,0.0
P00689,A,2019_Hu E et al_EnvironSciPollutRes_10.1007-s11356-019-04308-w,True,True,0,0,318,47,0,False,0.0
P01215,A,10.1016_j.ecoenv.2019.05.027,True,True,0,0,337,40,0,False,0.0
P01545,A,2018_Wu S et al_JHazardMater_10.1016-j.jhazmat.2018.09.082,True,True,0,0,295,36,0,False,0.0
P01547,A,2018_Wuetal_JHazardMater_10.1016-j.jhazmat.2018.09.094,True,True,0,0,395,48,0,False,0.0
P04119,A,2019_Hydrocarbons_EnvironRes_10.3390-ijerph16071155,True,True,0,0,218,40,0,False,0.0
P08060,A,2019_Wu Z et al_EcotoxicolEnvironSaf_null,True,True,0,0,337,40,0,False,0.0
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,True,True,0,0,310,44,0,False,0.0
P01301,A,10.1016_j.envpol.2017.08.003,True,True,0,0,322,35,0,False,0.0
P02099,A,2017_Zhangetal_SciRep_10.1038-s41598-017-12437-w,True,True,0,0,351,26,0,False,0.0
P07518,A,2017_Distributions_EnvironRes_10.3390-ijerph14101179,True,True,0,0,322,61,0,False,0.0
P11556,A,2024_桂衍瑾_Unknown_null,True,True,0,0,1183,136,0,False,0.0
P01539,A,2015_Chen F et al_JHazardMater_10.1016-j.jhazmat.2015.09.068,True,True,0,0,330,62,0,False,0.0
P00630,A,10.1007_s11356-015-5249-1,True,True,0,0,227,23,0,False,0.0
P00753,A,2015_Chen R et al_JSoilsSediments_10.1007-s11368-015-1093-7,True,True,0,0,292,24,0,False,0.0
P01207,A,10.1016_j.ecoenv.2015.09.005,True,True,0,0,340,40,0,False,0.0
P06607,A,2012_Cao L et al_Science_null,True,True,0,0,317,62,0,False,0.0
P06579,A,2011_Zhang Q et al_EnvironPollut_null,True,True,0,0,282,22,0,False,0.0
P10733,A,2014_Zhang Q et al_EnvironPollut_null,True,True,0,0,282,22,0,False,0.0
P11546,A,2024_冯博_土壤_null,True,True,0,0,2034,319,0,False,0.0
P03082,A,2022_李怡佳_环境科学_10.13227-j.hjkx.202112006,True,True,0,0,256,20,0,False,0.0
P00737,A,2010_Tang X et al_JSoilsSediments_10.1007-s11368-010-0252-0,True,True,0,0,276,32,0,False,0.0
P03115,A,2018_田晶_土壤_10.13560-j.cnki.biotech.bull.1985.2018-0125,True,True,0,0,235,13,0,False,0.0
P06283,A,2009_Xiao J et al_JHazardMater_null,True,True,0,0,204,22,0,False,0.0
P05791,A,2005_Chen L et al_Chemosphere_10.1016-j.chemosphere.2005.01.011,True,True,0,0,284,27,0,False,0.0
P04395,A,2024_Gao L et al_Plants_10.3390-plants13202839,True,True,0,0,286,27,0,False,0.0
P01389,A,10.1016_j.envpol.2022.119716,True,True,0,0,388,42,0,False,0.0
P11640,A,2025_李鹏淼_Unknown_null,True,True,0,0,1431,236,0,False,0.0
P05186,A,2020_Xie Z et al_EnvironSciPollutRes_null,True,True,0,0,416,6,0,False,0.0
P00289,A,2006_Leung A et al_JMaterCyclesWasteManag_10.1007-s10163-005-0141-6,True,True,0,0,287,20,0,False,0.0
P01788,A,2020_Se C et al_SciTotalEnviron_10.1016-j.scitotenv.2020.143233,True,True,0,0,304,36,0,False,0.0
P00407,A,2019_Liu J et al_EnvironMonitAssess_10.1007-s10661-019-7441-0,True,True,0,0,375,47,0,False,0.0
P04372,A,2019_Selective H et al_Science_10.3390-molecules24152745,True,True,0,0,205,42,0,False,0.0
P06949,A,2014_Ethers_EnvironHealth_10.1371-journal.pone.0113699,True,True,0,0,335,16,0,False,0.0
P04614,A,2022_Xue Q et al_Toxics_10.3390-toxics10010032,True,True,0,0,341,56,0,False,0.0
P01268,A,10.1016_j.envint.2020.106162,True,True,0,0,340,48,0,False,0.0
P00096,A,2018_Wang C Q et al_AIChEJ_10.1002-aic.16519,True,True,0,0,392,67,0,False,0.0
P01124,A,2018_Li Z et al_Chemosphere_10.1016-j.chemosphere.2018.05.064,True,True,0,0,282,33,0,False,0.0
P09520,A,2026_Ren Y et al_JHazardMater_10.1016-j.jhazmat.2026.141922_1,True,True,0,0,40,2,0,False,0.0
P09447,A,"2025_TPHs, CP et al_EnvironRes_null",True,True,0,0,30,1,0,False,0.0
P08801,A,2023_Cui X et al_SciTotalEnviron_null,True,True,0,0,36,2,0,False,0.0
P09370,A,2025_Ma J et al_EcotoxicolEnvironSaf_null,True,True,0,0,401,60,0,False,0.0
P00975,A,10.1016_22,True,True,0,0,529,86,0,False,0.0
P05184,A,10_1016_j_envpol_2025_126365,True,True,0,0,25,1,0,False,0.0
P01509,A,2021_Li M et al_JEnvironSci_10.1016-j.jes.2021.02.002,True,True,0,0,321,49,0,False,0.0
P05201,A,10_1016_j_jhazmat_2026_141922,True,True,0,0,40,2,0,False,0.0
P08435,A,2021_Hu J et al_EnvironPollut_null,True,True,0,0,285,30,0,False,0.0
P08461,A,2021_Li G et al_EnvironTechnolInnov_null,True,True,0,0,36,1,0,False,0.0
P08618,A,2021_Zhang T et al_Ecotoxicology_null,True,True,0,0,427,4,0,False,0.0
P08705,A,2022_Liu Q et al_EnvironPollut_null_1,True,True,0,0,28,1,0,False,0.0
P05168,A,10_1016_j_ecoenv_2020_110651,True,True,0,0,236,14,0,False,0.0
P07920,A,2019_Elyamine AM et al_IntJMolSci_null,True,True,0,0,330,60,0,False,0.0
P11100,A,2019_Wu Z et al_EcotoxicolEnvironSaf_null_2,True,True,0,0,337,40,0,False,0.0
P00613,A,2014_Sun L et al_EnvironSciPollutRes_10.1007-s11356-014-3166-7,True,True,0,0,325,5,0,False,0.0
P06288,A,2009_Zhang H et al_IntJEnvironSciTechnol_null,True,True,0,0,194,20,0,False,0.0
P09583,A,2008_Tao S et al_EnvironSciTechnol_10.1021-es8019676ccc,False,True,0,0,0,0,0,False,0.0
P10376,A,2008_Tao S et al_EnvironSciTechnol_null,True,True,0,0,154,24,0,False,0.0
P01249,A,10.1016_j.ecoenv.2025.118925,True,True,0,0,279,42,0,False,0.0
P01501,B,10.1016_j.jenvman.2025.128321,True,True,0,0,414,52,0,False,0.0
P04678,B,10_3390_toxics14050406Toxics,True,True,0,0,527,29,0,False,0.0
P09521,B,2026_Ren Y et al_JHazardMater_10.1016-22,True,True,0,0,529,86,0,False,0.0
P11024,B,2018_任毅等_土壤_null,True,True,0,0,163,17,0,False,0.0
P11353,B,2022_作者姓名_土壤_null,True,True,0,0,1215,77,0,False,0.0
P11657,B,2026_Zhang K et al_EnvironPollut_null,True,True,0,0,357,47,0,False,0.0
P01404,B,10.1016_j.envpol.2025.126365,True,True,0,0,374,53,0,False,0.0
P01422,B,10.1016_j.envres.2025.122748,True,True,0,0,28,1,0,False,0.0
P01514,B,2025_Duan L et al_JEnvironSci_10.1016-j.jes.2023.09.037,True,True,0,0,246,40,0,False,0.0
P01641,B,10.1016_j.jhazmat.2025.139303,True,True,0,0,41,2,0,False,0.0
P01868,B,10.1016_j.scitotenv.2025.178384,True,True,0,0,39,2,0,False,0.0
P03271,B,2014_张倩等_山西师范大学学报自然科学版_10.16207-j.cnki.1009-4490.2014.02.014,True,True,0,0,200,11,0,False,0.0
P03274,B,2016_陈希超_环境科学_10.16241-j.cnki.1001-5914.2016.09.025,True,True,0,0,195,8,0,False,0.0
P03876,B,1957_Bioaccumulation_Land_10.3390-agriculture15181957,True,True,0,0,344,59,0,False,0.0
P09363,B,2025_Liu X et al_EnvironRes_10.1016-61,True,True,0,0,28,1,0,False,0.0
P11448,B,2023_谢臣臣_Unknown_null,True,True,0,0,1422,124,0,False,0.0
P11592,B,2025_Liu X et al_EnvironRes_null,True,True,0,0,596,45,0,False,0.0
P11625,B,2025_Wang T et al_EcotoxicolEnvironSaf_null,True,True,0,0,323,56,0,False,0.0
P11638,B,2025_周湘远_Unknown_null,True,True,0,0,1361,254,0,False,0.0
P01010,B,10.1016_61,True,True,0,0,28,1,0,False,0.0
P01184,B,2024_Li M et al_Chemosphere_10.1016-j.chemosphere.2023.140954,True,True,0,0,46,5,0,False,0.0
P01244,B,10.1016_j.ecoenv.2024.116927,True,True,0,0,350,43,0,False,0.0
P01421,B,10.1016_j.envres.2024.119185,True,True,0,0,30,1,0,False,0.0
P01612,B,2024_Long X et al_JHazardMater_10.1016-j.jhazmat.2024.134345,True,True,0,0,38,2,0,False,0.0
P01619,B,10.1016_j.jhazmat.2024.135547,True,True,0,0,474,66,0,False,0.0
P01624,B,10.1016_j.jhazmat.2024.136315,True,True,0,0,36,2,0,False,0.0
P01626,B,2024_Liu Y et al_JHazardMater_10.1016-j.jhazmat.2024.136456,True,True,0,0,241,38,0,False,0.0
P01674,B,10.1016_j.pedsph.2023.06.001,True,True,0,0,358,38,0,False,0.0
P01858,B,2024_Zhou M et al_SciTotalEnviron_10.1016-j.scitotenv.2024.175364,True,True,0,0,411,18,0,False,0.0
P03057,B,2017_杨悦锁等_化工学报_10.11949-j.issn.0438-1157.20161805,True,True,0,0,404,12,0,False,0.0
