paper_id,level,stem,md_exists,n_html_tables,n_tr_rows,has_html_table,n_images,si_dir_exists,n_si_pdfs,total_md_lines,extract_strategy
P01646,A,10.1016_j.jhazmat.2025.140728,True,0,0,False,2,True,1,550,si_available
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,True,3,29,True,18,False,0,220,html_table
P00137,A,2019_Wang C et al_LandDegradDev_10.1002-ldr.3456_3,True,1,24,True,7,False,0,246,html_table
P00245,A,10_1007_s00244_019_00675_0,True,2,24,True,14,False,0,255,html_table
P00408,A,10.1007_s10661-019-7476-2,True,5,49,True,19,True,0,289,html_table
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,True,3,51,True,8,False,0,209,html_table
P11648,A,2026_Kang Y et al_Unknown_null,True,0,0,False,2,False,0,45,figure_only
P00411,A,2019_Monitoring HE_EnvironMonitAssess_10.1007-s10661-019-7514-7,True,1,2,False,6,False,0,294,figure_only
P11023,A,2018_任毅_土壤_null,True,8,76,True,9,False,0,164,html_table
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,True,5,92,True,26,True,0,483,html_table
P03291,A,2023_俞明等_现代化工_10.16606-j.cnki.issn0253-4320.2023.07.043,True,2,12,True,6,False,0,180,html_table
P03823,A,2025_Song Q et al_FrontMicrobiol_10.3389-fmicb.2025.1544233,True,2,11,True,32,False,0,540,html_table
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,True,3,71,True,20,True,0,323,html_table
P03838,A,2024_Wang Y et al_FrontPlantSci_10.3389-fpls.2024.1505670,True,2,24,True,12,False,0,350,html_table
P04669,A,2024_Lu Y et al_Unknown_null,True,3,15,True,36,False,0,318,html_table
P11456,A,2023_魏晓莉_Unknown_null,True,21,253,True,104,False,0,1158,html_table
P01182,A,2023_Zhang D et al_Chemosphere_10.1016-j.chemosphere.2023.140288,True,2,89,True,34,False,0,406,html_table
