paper_id,stem,title,op_groups,max_rows
P04678,10_3390_toxics14050406Toxics,"From Legacy Contamination to Green Infrastructure: Heavy Metal, Microplastics and Nutrient Pollution Management in the Yangtze River Basin",POPs_general,20
P03100,2023_李景铭_土壤_10.13292-j.1000-4890.202312.010_1,Research progress on bioremediation of polycyclic aromatic hydrocarbons and heavy metals co-contaminated soil,PAHs,12
P09090,2024_Nie J et al_JEnvironChemEng_null,Synergistic remediation strategies for soil contaminated with compound heavy metals and organic pollutants,POPs_general,21
P09913,10_13292_j_1000_4890_202312_010,Research progress on bioremediation of polycyclic aromatic hydrocarbons and heavy metals co-contaminated soil,PAHs,12
P11450,2023_王晴_土壤_null,Study on the enhanced bioremediation mechanisms of polycyclic aromatic hydrocarbons and arsenic co-contaminated soil,PAHs,8
P00829,2023_Apportionment IIS_Geomorphology_10.1007-s12403-023-00534-3,"Integrated Insights into Source Apportionment and Source-Specific Health Risks of Potential Pollutants in Urban Park Soils on the Karst Plateau, SW China",PAHs,29
P01182,2023_Zhang D et al_Chemosphere_10.1016-j.chemosphere.2023.140288,"Effects of single and combined contamination of total petroleum hydrocarbons and heavy metals on soil microecosystems: Insights into bacterial diversity, assembly, and ecological function",Petroleum_TPH,26
P04627,2023_Su Q_Toxics_10.3390-toxics11020143,Microbial Removal of Petroleum Hydrocarbons from Contaminated Soil under Arsenic Stress,"PAHs,Petroleum_TPH",7
P11424,2023_Wu J et al_SciTotalEnviron_null,Source apportionment and source specific health risk assessment of HMs and PAHs in soils with an integrated framework in a typical cold agricultural region in China,"PAHs,Pesticides",30
P01360,10.1016_j.envpol.2020.116038,"Ecological risk and early warning of soil compound pollutants (HMs, PAHs, PCBs and OCPs) in an industrial city, Changchun, China","PAHs,PCBs,OCPs,Pesticides",41
P01795,10.1016_j.scitotenv.2021.146282,Field study on the soil bacterial associations to combined contamination with heavy metals and organic contaminants,"PAHs,PBDEs,POPs_general",53
P11254,2021_PAHs et al_EnvironPollut_null_from_sub,"Ecological risk and early warning of soil compound pollutants (HMs, PAHs, PCBs and OCPs) in an industrial city, Changchun, China","PAHs,PCBs,OCPs,Pesticides",41
P11447,2023_毛_Unknown_null,Investigation and risk assessment of soil environmental pollution in a coking site,PAHs,10
P01223,2020_Lietal_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2020.111083,Effects of co-contamination of heavy metals and total petroleum hydrocarbons on soil bacterial community and function network reconstitution,Petroleum_TPH,21
P01746,2019_Zeng S et al_SciTotalEnviron_10.1016-j.scitotenv.2019.05.291,Spatial assessment of farmland soil pollution and its potential human health risks in China,PAHs,15
P07067,2014_Wang Y et al_EnvironPollut_null,Trace metals in e-waste lead to serious health risk through consumption of rice growing near an abandoned e-waste recycling site: Comparisons with PBDEs and AHFRs,PBDEs,44
P07068,2014_Wang Y et al_EnvironPollut_null_1,Trace metals in e-waste lead to serious health risk through consumption of rice growing near an abandoned e-waste recycling site: Comparisons with PBDEs and AHFRs,PBDEs,44
P04074,2018_Lv D et al_EnvironRes_10.3390-ijerph15040698,"Effects of Co-Processing Sewage Sludge in the Cement Kiln on PAHs, Heavy Metals Emissions and the Surrounding Environment",PAHs,29
P11136,2020_Li Q et al_EcotoxicolEnvironSaf_null,Effects of co-contamination of heavy metals and total petroleum hydrocarbons on soil bacterial community and function network reconstitution,Petroleum_TPH,21
P11293,2021_土壤中_土壤_null,Supercritical CO2 Extraction of Polycyclic Aromatic Hydrocarbons and Cadmium from Soil with Co-solvents and Chelating Agent,PAHs,14
P00650,2016_Hu S et al_EnvironSciPollutRes_10.1007-s11356-016-6701-6,"Toxicity of combined chromium(VI) and phenanthrene pollution on the seed germination, stem lengths, and fresh weights of higher plants",PAHs,4
P01993,2015_Liu J et al_EnvironSciTechnol_10.1021-es5049804,Ecological effects of combined pollution associated with e-waste recycling on the composition and diversity of soil microbial communities,"PCBs,PBDEs,POPs_general",14
P03328,2024_顾赟之_皮革制作与环保科技_10.20025-j.cnki.CN10-1679.2024-22-42,Research on Remediation Technology for Heavy Metal-organic Compound Polluted Sites,Petroleum_TPH,5
P01294,10.1016_j.envpol.2013.03.058,Assessing the combined risks of PAHs and metals in urban soils by urbanization indicators,PAHs,7
P01532,2013_Dong Z et al_JHazardMater_10.1016-j.jhazmat.2013.05.003,Remediation of soil co-contaminated with petroleum and heavy metals by the integration of electrokinetics and biostimulation,Petroleum_TPH,24
P06121,2008_Peng C et al_EnvironPollut_null,Assessing the combined risks of PAHs and metals in urban soils by urbanization indicators,PAHs,7
P06840,2013_Peng C et al_EnvironPollut_null,Assessing the combined risks of PAHs and metals in urban soils by urbanization indicators,PAHs,7
P00742,2012_Wang K et al_JSoilsSediments_10.1007-s11368-012-0471-7,Interactive effects of Cd and PAHs on contaminants removal from co-contaminated soil planted with hyperaccumulator plant Sedum alfredii,PAHs,20
P02482,2012_Wu L et al_IntJPhytoremediat_10.1080-15226514.2011.619227,"PHYTOREMEDIATION OF SOIL CONTAMINATED WITH CADMIUM, COPPER AND POLYCHLORINATED BIPHENYLS",PCBs,10
P11676,2014_英文并_土壤_null,"The Study of Repairing Potential of Three Plants to PAHs, Cu, Cd Single and Compound Polluted Soil",PAHs,32
P01907,2011_Tang J et al_JEnvironSci_10.1016-S1001-0742(10)60517-7,Eco-toxicity of petroleum hydrocarbon contaminated soil,Petroleum_TPH,10
P10441,2009_Zhang H. et al_IntJEnvironSciTechnol_null,Remediation of soil co-contaminated with pyrene and cadmium by growing maize (Zea mays L.),"PAHs,POPs_general",14
P09271,2025_Cheng T et al_JWaterProcessEng_null,Remediation of PAHs and heavy metals co-contaminated sediments by biochar-supported immobilized microbial systems: A review,PAHs,49
P01583,2021_Lin S et al_EnvironPollut_10.1016-j.jhazmat.2021.127792_1,"Toxic chemicals from uncontrolled e-waste recycling: Exposure, body burden, health impact",POPs_general,62
P08697,2022_Lin S et al_JHazardMater_null,"Toxic chemicals from uncontrolled e-waste recycling: Exposure, body burden, health impact",POPs_general,62
P06949,2014_Ethers_EnvironHealth_10.1371-journal.pone.0113699,"Elevated Serum Polybrominated Diphenyl Ethers and Alteration of Thyroid Hormones in Children from Guiyu, China",PBDEs,26
P01069,10.1016_j.cej.2021.133169,Remediation of emerging contaminated sites due to uncontrolled e-waste recycling,"VOC_SVOC,POPs_general",41
P08473,2021_Lin S et al_Science_10.1016-j.cej.2021.133169,Remediation of emerging contaminated sites due to uncontrolled e-waste recycling,"VOC_SVOC,POPs_general",41
P08462,2021_Li G et al_EnvironTechnolInnov_null_1,Effect of culturing ryegrass (Lolium perenne L.) on Cd and pyrene removal and bacteria variations in co-contaminated soil,PAHs,13
P08510,2021_PAHs et al_EnvironPollut_null,"Ecological risk and early warning of soil compound pollutants (HMs, PAHs, PCBs and OCPs) in an industrial city, Changchun, China","PAHs,PCBs,OCPs,Pesticides",41
P08700,2022_Lin S et al_ChemEngJ_null,Remediation of emerging contaminated sites due to uncontrolled e-waste recycling,"VOC_SVOC,POPs_general",41
P07154,2015_Jiang J et al_EcotoxicolEnvironSaf_null,Combined remediation of Cd–phenanthrene co-contaminated soil by Pleurotus cornucopiae and Bacillus thuringiensis FQ1 and the antioxidant responses in Pleurotus cornucopiae,PAHs,10
P10531,2011_Peng C et al_null_null,Assessing the combined risks of PAHs and metals in urban soils by urbanization indicators,PAHs,7
P06288,2009_Zhang H et al_IntJEnvironSciTechnol_null,Remediation of soil co-contaminated with pyrene and cadmium by growing maize (Zea mays L.),"PAHs,POPs_general",14
P09516,2026_Microplastics M et al_Science_10.3390-toxics14050406Toxics,"From Legacy Contamination to Green Infrastructure: Heavy Metal, Microplastics and Nutrient Pollution Management in the Yangtze River Basin",POPs_general,20
