sample_id,source_id,paper_id,site_name,land_use,province,n_hm_obs,n_op_obs,n_hm_elements,n_op_families,hm_elements,op_families,has_hm,has_op,hm_op_paired,is_summary_only,evidence_level,n_source,matrix_flag,readiness,qa_flag
P00133_10,10.1002/jssc.200900420,P00133,10 (Table 4. Analytical parameters),other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00133_118,10.1002/jssc.200900420,P00133,11.8 (Table 4. Analytical parameters),other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00133_tr1_151200,10.1002/jssc.200900420,P00133,15-1200 (Table 4. Analytical parameters),other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00133_tr2_09910,10.1002/jssc.200900420,P00133,0.9910 (Table 4. Analytical parameters),other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00208_S1,10.1007_s00128-015-1563-z,P00208,S1,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S10,10.1007_s00128-015-1563-z,P00208,S10,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S11,10.1007_s00128-015-1563-z,P00208,S11,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S12,10.1007_s00128-015-1563-z,P00208,S12,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S13,10.1007_s00128-015-1563-z,P00208,S13,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S14,10.1007_s00128-015-1563-z,P00208,S14,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S15,10.1007_s00128-015-1563-z,P00208,S15,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S16,10.1007_s00128-015-1563-z,P00208,S16,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S17,10.1007_s00128-015-1563-z,P00208,S17,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S18,10.1007_s00128-015-1563-z,P00208,S18,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S19,10.1007_s00128-015-1563-z,P00208,S19,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S2,10.1007_s00128-015-1563-z,P00208,S2,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S3,10.1007_s00128-015-1563-z,P00208,S3,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S4,10.1007_s00128-015-1563-z,P00208,S4,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S5,10.1007_s00128-015-1563-z,P00208,S5,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S6,10.1007_s00128-015-1563-z,P00208,S6,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S7,10.1007_s00128-015-1563-z,P00208,S7,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S8,10.1007_s00128-015-1563-z,P00208,S8,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_S9,10.1007_s00128-015-1563-z,P00208,S9,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_tr1_Numberofchlorin,10.1007_s00128-015-1563-z,P00208,Number of chlorine atoms (Table 1 Concen,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
