sample_id,x_measured_BaP_ngg,x_measured_SumDDTs_ngg,x_measured_SumHCHs_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,source_id,paper_id,site_name,land_use,province,n_hm_obs,n_op_obs,hm_elements,op_families,matrix_flag,evidence_level,readiness,qa_flag,site_type
P00133_10,5.0,,,,,45.0,10.1002/jssc.200900420,P00133,10 (Table 4. Analytical parameters),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00133_118,11.4,,,,,31.46,10.1002/jssc.200900420,P00133,11.8 (Table 4. Analytical parameters),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00133_tr1_151200,382.5,,,,,877.5,10.1002/jssc.200900420,P00133,15-1200 (Table 4. Analytical parameters),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00133_tr2_09910,0.982,,,,,2.9391,10.1002/jssc.200900420,P00133,0.9910 (Table 4. Analytical parameters),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00208_S1,,,,,45.0,,10.1007_s00128-015-1563-z,P00208,S1,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S10,,,,,94.1,,10.1007_s00128-015-1563-z,P00208,S10,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S11,,,,,48.1,,10.1007_s00128-015-1563-z,P00208,S11,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S12,,,,,42.9,,10.1007_s00128-015-1563-z,P00208,S12,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S13,,,,,30.7,,10.1007_s00128-015-1563-z,P00208,S13,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S14,,,,,34.7,,10.1007_s00128-015-1563-z,P00208,S14,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S15,,,,,29.5,,10.1007_s00128-015-1563-z,P00208,S15,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S16,,,,,35.7,,10.1007_s00128-015-1563-z,P00208,S16,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S17,,,,,23.9,,10.1007_s00128-015-1563-z,P00208,S17,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S18,,,,,29.9,,10.1007_s00128-015-1563-z,P00208,S18,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S19,,,,,37.4,,10.1007_s00128-015-1563-z,P00208,S19,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S2,,,,,35.2,,10.1007_s00128-015-1563-z,P00208,S2,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S3,,,,,44.6,,10.1007_s00128-015-1563-z,P00208,S3,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S4,,,,,37.3,,10.1007_s00128-015-1563-z,P00208,S4,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S5,,,,,48.5,,10.1007_s00128-015-1563-z,P00208,S5,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S6,,,,,67.6,,10.1007_s00128-015-1563-z,P00208,S6,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S7,,,,,48.2,,10.1007_s00128-015-1563-z,P00208,S7,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S8,,,,,85.5,,10.1007_s00128-015-1563-z,P00208,S8,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_S9,,,,,47.0,,10.1007_s00128-015-1563-z,P00208,S9,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_tr1_Numberofchlorin,,,,,36.0,,10.1007_s00128-015-1563-z,P00208,Number of chlorine atoms (Table 1 Concen,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_tr2_Rangeugkg,,,,,31.55,,10.1007_s00128-015-1563-z,P00208,Range (ug/kg) (Table 1 Concentrations of,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_tr3_Averagegkg,,,,,48.19,,10.1007_s00128-015-1563-z,P00208,Average (μg/kg) (Table 1 Concentrations ,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00208_tr4_Detectionrate,,,,,558.0,,10.1007_s00128-015-1563-z,P00208,Detection rate (%) (Table 1 Concentratio,other,,0,1,,PCBs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00228_tr1_rings,5.0,,,,,49.0,10.1007/s00128-021-03193-9,P00228,rings (Table 1 PAH concentrations in ),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,coking
P00242_tr3_1048,,,,875.0,,,10.1007/s00244-010-9590-6,P00242,10.48 (Table 3 Concentrations (ng/g d),agricultural,,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P00242_tr4_5060,,,,340.0,,,10.1007/s00244-010-9590-6,P00242,50.60 (Table 3 Concentrations (ng/g d),agricultural,,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P00289_tr1_River2,,,,1.01,,,10.1007/s10163-005-0141-6,P00289,River-2 (Table 5. Concentrations of PBD),e_waste,广东,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P00289_tr2_Burntplasticdum,,,,2.86,,,10.1007/s10163-005-0141-6,P00289,Burnt plastic dump site (Table 5. Concen,e_waste,广东,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P00289_tr3_Printerrollerdu,,,,0.34,,,10.1007/s10163-005-0141-6,P00289,Printer roller dump site (Table 5. Conce,e_waste,广东,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P00319_s5__50,,50.0,50.0,,,,10.1007/s10653-016-9899-9,P00319,≤50,other,天津,0,2,,OCPs,soil,A_sample_table,op_only_ready,,urban
P00319_s6__500,,500.0,500.0,,,,10.1007/s10653-016-9899-9,P00319,≤500,other,天津,0,2,,OCPs,soil,A_sample_table,op_only_ready,,urban
P00319_s7__1000,,1000.0,1000.0,,,,10.1007/s10653-016-9899-9,P00319,≤1000,other,天津,0,2,,OCPs,soil,A_sample_table,op_only_ready,,urban
P00321_s2_Peiku,,,0.69,,,,10.1007/s10653-017-9908-7,P00321,Peiku,other,,0,1,,OCPs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00321_s3_Cuo_E,,,1.37,,,,10.1007/s10653-017-9908-7,P00321,Cuo E,other,,0,1,,OCPs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00321_s4_Cuo_Na,,,1.23,,,,10.1007/s10653-017-9908-7,P00321,Cuo Na,other,,0,1,,OCPs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00321_s5_Keluke,,,1.03,,,,10.1007/s10653-017-9908-7,P00321,Keluke,other,,0,1,,OCPs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P00355_tr2_Anningqutown,1.42,,,,,37.49,10.1007/s10653-022-01369-8,P00355,Anningqu town (Table 2 Content of PAHs i,other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00355_tr3_Qinggedahucount,1.42,,,,,38.17,10.1007/s10653-022-01369-8,P00355,Qinggedahu county (Table 2 Content of PA,other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00355_tr4_Liushihuvillage,1.23,,,,,29.87,10.1007/s10653-022-01369-8,P00355,Liushihu village (Table 2 Content of PAH,other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00355_tr5_Sishihuvillage,1.64,,,,,40.66,10.1007/s10653-022-01369-8,P00355,Sishihu village (Table 2 Content of PAHs,other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,other
P00612_s10_Smelting,,,,,,0.357,10.1007/s11356-014-3171-6,P00612,Smelting,industrial,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,industrial
P00612_s2_Coke_power,,,,,,0.305,10.1007/s11356-014-3171-6,P00612,Coke power,industrial,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,industrial
P00612_s5_Coal_mining,,,,,,0.444,10.1007/s11356-014-3171-6,P00612,Coal mining,industrial,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,industrial
P00612_s6_Coal_mining,,,,,,0.279,10.1007/s11356-014-3171-6,P00612,Coal mining,industrial,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,industrial
