sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DBP_ngg,x_measured_DEHP_ngg,x_measured_DEP_ngg,x_measured_DiBP_ngg,x_measured_ENRO_ngg,x_measured_Endosulfan_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPAE_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P00208_S1,,,,,,,,,,,,,,,,,,,,,,,45.0,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S10,,,,,,,,,,,,,,,,,,,,,,,94.1,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S11,,,,,,,,,,,,,,,,,,,,,,,48.1,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S12,,,,,,,,,,,,,,,,,,,,,,,42.9,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S13,,,,,,,,,,,,,,,,,,,,,,,30.7,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S14,,,,,,,,,,,,,,,,,,,,,,,34.7,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S15,,,,,,,,,,,,,,,,,,,,,,,29.5,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S16,,,,,,,,,,,,,,,,,,,,,,,35.7,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S17,,,,,,,,,,,,,,,,,,,,,,,23.9,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S18,,,,,,,,,,,,,,,,,,,,,,,29.9,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S19,,,,,,,,,,,,,,,,,,,,,,,37.4,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S2,,,,,,,,,,,,,,,,,,,,,,,35.2,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S3,,,,,,,,,,,,,,,,,,,,,,,44.6,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S4,,,,,,,,,,,,,,,,,,,,,,,37.3,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S5,,,,,,,,,,,,,,,,,,,,,,,48.5,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S6,,,,,,,,,,,,,,,,,,,,,,,67.6,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S7,,,,,,,,,,,,,,,,,,,,,,,48.2,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S8,,,,,,,,,,,,,,,,,,,,,,,85.5,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00208_S9,,,,,,,,,,,,,,,,,,,,,,,47.0,,,P00208,P00208,sediment,urban,Guangdong,0,1,False,,
P00395_Plot14_0-20cm,,,,,,,,,,,,,,,,,8.1,7.7,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot14_20-60cm,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot16_0-20cm,,,,,,,,,,,,,,,,,,9.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot16_120-160cm,,,,,,,,,,,,,,,,,,0.6,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot16_160-200cm,,,,,,,,,,,,,,,,,,1.3,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot16_20-60cm,,,,,,,,,,,,,,,,,,4.1,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot16_60-90cm,,,,,,,,,,,,,,,,,,1.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot16_90-120cm,,,,,,,,,,,,,,,,,,0.6,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot17_0-20cm,,,111.0,,,,,,,,27.0,,,,20.0,,,90.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,4,False,,
P00395_Plot17_120-160cm,,,,,,,,,,,,,,,,,,1.4,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot17_160-200cm,,,,,,,,,,,,,,,,,0.6,,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot17_20-60cm,,,,,,,,,,,,,,,,,2.0,23.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot17_60-90cm,,,,,,,,,,,,,,,,,,3.6,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot17_90-120cm,,,,,,,,,,,,,,,,,,2.1,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot18_0-20cm,,,,,,,,,,,,,,,,,,25.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot18_20-60cm,,,,,,,,,,,,,,,,,0.5,0.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot19_0-20cm,,,,,,,,,,,,,,,,,5.4,12.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot19_20-60cm,,,,,,,,,,,,,,,,,1.6,5.1,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot20_0-20cm,,,,,,,,,,,,,,,,,,7.3,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot20_20-60cm,,,,,,,,,,,,,,,,,,0.8,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot21_0-20cm,,,110.0,,,,,,,,,,,,,,,110.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot21_120-160cm,,,,,,,,,,,,,,,,,0.7,3.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot21_160-200cm,,,,,,,,,,,,,,,,,,2.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot21_20-60cm,,,,,,,,,,,,,,,,,1.4,38.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot21_60-90cm,,,,,,,,,,,,,,,,,0.6,8.3,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot21_90-120cm,,,,,,,,,,,,,,,,,0.6,5.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot22_0-20cm,,,,,,,,,,,62.0,,,,,,,28.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot22_120-160cm,,,,,,,,,,,,,,,,,,0.4,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot22_160-200cm,,,,,,,,,,,,,,,,,,0.5,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot22_20-60cm,,,,,,,,,,,,,,,,,0.8,3.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot22_90-120cm,,,,,,,,,,,,,,,,,,1.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_0-20cm,,,23.0,,,,,,,,,,,,,,,79.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot23_120-160cm,,,,,,,,,,,,,,,,,,2.6,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_160-200cm,,,,,,,,,,,,,,,,,,1.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_20-60cm,,,,,,,,,,,,,,,,,,8.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_60-90cm,,,,,,,,,,,,,,,,,,1.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_90-120cm,,,,,,,,,,,,,,,,,,0.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_0-20cm,,,,,,,,,,,28.0,,,,,,,25.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot24_120-160cm,,,,,,,,,,,,,,,,,,1.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_160-200cm,,,,,,,,,,,,,,,,,,1.1,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_20-60cm,,,,,,,,,,,,,,,,,0.7,1.8,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot24_60-90cm,,,,,,,,,,,,,,,,,,0.5,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_90-120cm,,,,,,,,,,,,,,,,,,2.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot2_0-20cm,,,,,,,,,,,,,,,,,,7.5,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot2_20-60cm,,,,,,,,,,,,,,,,,,0.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot7_0-20cm,,,,,,,,,,,22.0,,,,,,,,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Riverbed_130-170cm,,,,,,,,,,,,,,,,,,14.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_170-210cm,,,,,,,,,,,,,,,,,,21.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_20-50cm,,,,,,,,,,,1.0,,,,,,,36.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,2,False,,
P00395_Riverbed_210-250cm,,,,,,,,,,,,,,,,,,26.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
