source_id,sample_id,matrix,pollutant_family,analyte,value,unit,below_detection,evidence_location,source_path,evidence_level
coal_mining_east_china_pah_si,US1,soil,PAH,NaP,10.58,ng/g,False,DOCX:Table0:row2:col1,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US2,soil,PAH,NaP,11.73,ng/g,False,DOCX:Table0:row2:col2,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US3,soil,PAH,NaP,9.3,ng/g,False,DOCX:Table0:row2:col3,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US4,soil,PAH,NaP,8.68,ng/g,False,DOCX:Table0:row2:col4,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US5,soil,PAH,NaP,11.61,ng/g,False,DOCX:Table0:row2:col5,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US6,soil,PAH,NaP,14.81,ng/g,False,DOCX:Table0:row2:col6,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US7,soil,PAH,NaP,12.7,ng/g,False,DOCX:Table0:row2:col7,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US8,soil,PAH,NaP,21.28,ng/g,False,DOCX:Table0:row2:col8,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US9,soil,PAH,NaP,14.46,ng/g,False,DOCX:Table0:row2:col9,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US10,soil,PAH,NaP,9.46,ng/g,False,DOCX:Table0:row2:col10,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US1,soil,PAH,Acy,11.78,ng/g,False,DOCX:Table0:row3:col1,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US2,soil,PAH,Acy,10.68,ng/g,False,DOCX:Table0:row3:col2,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US3,soil,PAH,Acy,10.54,ng/g,False,DOCX:Table0:row3:col3,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US4,soil,PAH,Acy,10.57,ng/g,False,DOCX:Table0:row3:col4,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US5,soil,PAH,Acy,11.22,ng/g,False,DOCX:Table0:row3:col5,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
coal_mining_east_china_pah_si,US6,soil,PAH,Acy,12.94,ng/g,False,DOCX:Table0:row3:col6,"G:\所有文献\8.第八阶段挖掘\si\DataSheet1_Characterization of polycyclic aromatic hydrocarbons in soil in a coal mining area, East China_ Spatial distribution, sources, and carcinog.docx",A_sample_table
