sample_idx,site_id,factor_name,factor_col,track,value,detected,B,R,threshold_type,upper_limit,lower_limit,standard_source
978,979,pH,SoilpH,production,4.62,True,1,0.9641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
979,980,pH,SoilpH,production,4.77,True,1,0.8872,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
980,981,pH,SoilpH,production,4.3,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
981,982,pH,SoilpH,production,5.2,True,1,0.6667,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
982,983,pH,SoilpH,production,4.5,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
983,984,pH,SoilpH,production,5.58,True,1,0.4718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
984,985,pH,SoilpH,production,4.52,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
985,986,pH,SoilpH,production,4.2,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
986,987,pH,SoilpH,production,4.43,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
987,988,pH,SoilpH,production,4.71,True,1,0.9179,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
988,989,pH,SoilpH,production,5.28,True,1,0.6256,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
989,990,pH,SoilpH,production,4.58,True,1,0.9846,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
990,991,pH,SoilpH,production,4.59,True,1,0.9795,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
991,992,pH,SoilpH,production,4.89,True,1,0.8256,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
992,993,pH,SoilpH,production,4.34,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
993,994,pH,SoilpH,production,4.06,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
994,995,pH,SoilpH,production,4.42,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
995,996,pH,SoilpH,production,4.78,True,1,0.8821,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
996,997,pH,SoilpH,production,4.75,True,1,0.8974,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
997,998,pH,SoilpH,production,4.76,True,1,0.8923,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
998,999,pH,SoilpH,production,4.58,True,1,0.9846,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
999,1000,pH,SoilpH,production,4.17,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1001,1002,pH,SoilpH,production,4.24,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1002,1003,pH,SoilpH,production,4.57,True,1,0.9897,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1003,1004,pH,SoilpH,production,5.03,True,1,0.7538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
